State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Baghpat - UP17,ICE,BAJAJ AUTO LTD,118,111,142,142,156,131,151,112,124,210,373,96
Uttar Pradesh,Baghpat - UP17,ICE,BMW INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0,2,0
Uttar Pradesh,Baghpat - UP17,ICE,CLASSIC LEGENDS PVT LTD,4,4,3,3,4,5,5,4,4,7,7,0
Uttar Pradesh,Baghpat - UP17,ICE,HERO MOTOCORP LTD,628,497,538,633,646,517,609,518,414,739,"1,574",448
Uttar Pradesh,Baghpat - UP17,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,142,117,192,188,174,141,168,175,147,252,480,143
Uttar Pradesh,Baghpat - UP17,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Baghpat - UP17,ICE,INDIA YAMAHA MOTOR PVT LTD,5,9,7,9,7,0,7,4,5,10,12,5
Uttar Pradesh,Baghpat - UP17,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),71,71,87,92,94,48,66,40,61,123,189,82
Uttar Pradesh,Baghpat - UP17,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,0,0,2,4,1,1,1,2,0,2,2,1
Uttar Pradesh,Baghpat - UP17,ICE,TVS MOTOR COMPANY LTD,183,152,130,152,167,146,143,131,103,217,312,70
