State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Baghpat - UP17,L3G,ATTOLENT AUTO GROUP PVT LTD,0,6,0,0,1,0,0,7,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,BHARATH MOTOCORP,0,0,1,0,3,2,0,6,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,KAKKAR ELECTRIC AUTO PVT LTD,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,LIONIZE AUTOMOBILE PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,MAA SHAKTI EXIM PVT LTD,0,1,1,1,0,0,0,3,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,MINI METRO EV L.L.P,0,1,4,1,2,1,0,9,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,SAHNIANAND E VEHICLES PVT LTD,1,1,1,0,1,0,0,4,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,SHIV OM INDIA,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,UNIQUE INTERNATIONAL,1,0,1,2,1,3,0,8,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,Baghpat - UP17,L3G,YC ELECTRIC VEHICLE,2,0,0,0,0,1,0,3,0,0,0
