State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Baghpat - UP17,L3P,AKG INTERNATIONAL,0,4,5,3,9,6,0,27,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,ALIED E MOBILITY PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,AMAN ELECTRIC VEHICLES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,ATTOLENT AUTO GROUP PVT LTD,2,2,0,0,3,0,0,7,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,BHARATH MOTOCORP,2,11,10,0,12,2,0,37,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,CHAMPION POLY PLAST,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,1,4,0,0,5,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,DAKSH INDUSTRIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,DEV MOTORS,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,3,0,0,0,3,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,EXTRA FAST SOLUTIONS,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,HOTAGE INDIA,0,0,2,1,2,1,0,6,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,INDIAN MOTORS,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,KANHA ELECTRIC VEHICLES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,KHALSAE-VEHICLES PVT LTD,2,0,0,1,0,0,0,3,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,LALA G E RICKSHAW AND SPARE PARTS,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,LECTRIX E VEHICLES PVT LTD,0,0,0,4,1,1,0,6,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,LIONIZE AUTOMOBILE PVT LTD,1,1,0,0,5,8,0,15,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,MAA SHAKTI EXIM PVT LTD,0,2,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,MALI ENTERPRISES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,MINI METRO EV L.L.P,0,5,8,7,11,18,0,49,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,0,17,7,0,0,0,24,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,NAMAH INDUSTRIES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,RUN STAR ENGINEERING,2,0,0,1,0,0,0,3,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,SAHNIANAND E VEHICLES PVT LTD,9,5,4,9,11,7,0,45,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,SAIFIAN SOLAR PVT LTD,0,2,1,0,3,2,0,8,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,SHAKTI AUTO GREEN,4,0,0,0,1,2,0,7,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,6,2,1,1,1,0,11,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,SKS TRADE INDIA PVT LTD,0,0,0,6,2,1,0,9,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,STAR BULL E MOTORS,0,0,0,4,1,1,0,6,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,3,0,5,0,0,0,0,8,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,UNIQUE AUTO ELECTRIC,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,UNIQUE ENTERPRISES,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,UNIQUE INTERNATIONAL,6,2,8,5,5,4,0,30,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,YC ELECTRIC VEHICLE,3,1,3,5,6,7,0,25,0,0,0
Uttar Pradesh,Baghpat - UP17,L3P,ZELIO AUTO PVT LTD,3,2,2,2,1,1,0,11,0,0,0
