State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Bahraich - UP40,ICE,BAJAJ AUTO LTD,384,480,555,525,614,483,518,302,280,353,808,424
Uttar Pradesh,Bahraich - UP40,ICE,BMW INDIA PVT LTD,0,2,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Bahraich - UP40,ICE,CLASSIC LEGENDS PVT LTD,7,3,3,2,2,3,1,1,1,2,4,2
Uttar Pradesh,Bahraich - UP40,ICE,HERO MOTOCORP LTD,"1,131","2,046","1,856","2,807","2,671","1,748","1,504","1,040",553,"1,863","3,122",926
Uttar Pradesh,Bahraich - UP40,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,199,227,249,257,290,238,258,174,120,353,509,144
Uttar Pradesh,Bahraich - UP40,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,1,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Bahraich - UP40,ICE,INDIA YAMAHA MOTOR PVT LTD,31,34,33,10,41,26,23,13,16,3,61,6
Uttar Pradesh,Bahraich - UP40,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),46,64,57,56,66,54,51,37,24,66,92,76
Uttar Pradesh,Bahraich - UP40,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,2,0,1,2,3,4,2,2,1,0,4,1
Uttar Pradesh,Bahraich - UP40,ICE,TVS MOTOR COMPANY LTD,480,615,607,814,881,578,636,436,361,677,"1,180",494
Uttar Pradesh,Bahraich - UP40,ICE,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,0,0,1,0,0
