State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Ballia - UP60,L3P,AAHANA COMMERCE PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Ballia - UP60,L3P,ALLENTTI MOTORS PVT LTD,0,0,6,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,ALLFINE INDUSTRIES PVT LTD,24,28,7,25,23,10,35,30,24,12,4,6
Uttar Pradesh,Ballia - UP60,L3P,AMBIKA INDUSTRIES,17,4,4,5,8,1,1,5,1,4,1,2
Uttar Pradesh,Ballia - UP60,L3P,ARCHIT ENTERPRISES,1,0,1,1,4,0,1,3,0,3,0,0
Uttar Pradesh,Ballia - UP60,L3P,ATUL AUTO LTD,16,23,23,20,33,17,28,14,27,31,40,43
Uttar Pradesh,Ballia - UP60,L3P,ATUT SANGAM,2,6,0,12,0,1,0,1,1,5,3,3
Uttar Pradesh,Ballia - UP60,L3P,A.V.AUTOMOTIVES PVT LTD,0,5,0,0,30,8,16,11,17,4,11,9
Uttar Pradesh,Ballia - UP60,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,Ballia - UP60,L3P,BEST WAY AGENCIES PVT LTD,1,2,1,0,2,0,3,3,3,3,4,3
Uttar Pradesh,Ballia - UP60,L3P,BHM INDUSTRIES,0,1,15,1,0,0,5,9,0,5,1,0
Uttar Pradesh,Ballia - UP60,L3P,BRIGHT AUTOZONE PVT LTD,0,1,0,3,0,2,0,1,3,0,1,1
Uttar Pradesh,Ballia - UP60,L3P,CEEON INDIA,2,1,1,1,1,0,1,0,0,1,0,0
Uttar Pradesh,Ballia - UP60,L3P,CHAMPION POLY PLAST,35,39,29,27,36,35,36,42,35,48,44,21
Uttar Pradesh,Ballia - UP60,L3P,CONTINENTAL ENGINES PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,DAKSH INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,DE EUSI MOTORS PVT LTD.,10,13,9,2,9,11,1,6,0,0,12,35
Uttar Pradesh,Ballia - UP60,L3P,DELTA AUTOCORP LTD,11,1,3,4,3,4,2,0,10,0,0,5
Uttar Pradesh,Ballia - UP60,L3P,DILLI ELECTRIC AUTO PVT LTD,6,5,11,4,3,0,2,0,0,2,0,2
Uttar Pradesh,Ballia - UP60,L3P,DUKE AUTO INDIA,0,3,3,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,ECO SMART VEHICLES PVT LTD,1,0,0,1,1,0,0,0,0,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,ELITE AUTO ENGINEERS PVT LTD,6,7,2,10,12,7,2,10,5,2,1,0
Uttar Pradesh,Ballia - UP60,L3P,ENERGY ELECTRIC VEHICLES,4,5,10,6,1,2,3,7,3,1,1,3
Uttar Pradesh,Ballia - UP60,L3P,ENTICE IMPEX PVT LTD,7,0,0,4,0,0,0,2,0,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,EXIDE INDUSTRIES LTD,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,Ballia - UP60,L3P,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,11,13,11,3,6,6,3,8,4,3,1,1
Uttar Pradesh,Ballia - UP60,L3P,GAGAN AUTOMOTIVES,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,5,0,7,0,1,0,8,9,3,8,1,3
Uttar Pradesh,Ballia - UP60,L3P,GREENWHEELS AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,0,4,1,0
Uttar Pradesh,Ballia - UP60,L3P,HARSH TRADING CO,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Ballia - UP60,L3P,HOTAGE INDIA,13,17,15,11,11,9,23,19,13,8,13,12
Uttar Pradesh,Ballia - UP60,L3P,INS AUTOMOBILES PVT LTD,0,0,0,1,0,0,2,2,0,4,2,8
Uttar Pradesh,Ballia - UP60,L3P,INTERGLOBE ENERGY PVT LTD,0,0,0,0,0,0,0,0,5,21,11,37
Uttar Pradesh,Ballia - UP60,L3P,JESSUN TECHNO PVT LTD,0,0,0,0,0,0,0,0,0,0,3,0
Uttar Pradesh,Ballia - UP60,L3P,JMT VEHICLES PVT LTD,8,5,6,4,7,7,9,5,16,6,4,5
Uttar Pradesh,Ballia - UP60,L3P,J. S. AUTO (P) LTD,38,41,22,22,27,45,28,52,23,38,48,28
Uttar Pradesh,Ballia - UP60,L3P,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,4,1,0,1,0,3,0,1,0,1,0,0
Uttar Pradesh,Ballia - UP60,L3P,KGN,4,0,0,0,0,1,2,14,12,2,1,7
Uttar Pradesh,Ballia - UP60,L3P,KHALSAE-VEHICLES PVT LTD,2,1,5,2,5,2,3,6,4,6,3,2
Uttar Pradesh,Ballia - UP60,L3P,KRISHNA ENGINEERING WORKS,2,0,1,7,0,0,1,2,0,3,0,1
Uttar Pradesh,Ballia - UP60,L3P,KRISHNA VEHICALS,0,0,0,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,LECTRIX E VEHICLES PVT LTD,0,3,3,4,3,3,5,2,2,1,0,0
Uttar Pradesh,Ballia - UP60,L3P,MAA KALPANA ENTERPRISE,0,0,0,2,1,1,2,2,4,3,1,1
Uttar Pradesh,Ballia - UP60,L3P,MAA SHAKTI EXIM PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,MAHINDRA LAST MILE MOBILITY LTD,14,2,5,1,0,0,0,1,0,1,2,2
Uttar Pradesh,Ballia - UP60,L3P,MAHINDRA & MAHINDRA LIMITED,1,0,0,1,0,2,0,0,0,0,0,0
Uttar Pradesh,Ballia - UP60,L3P,MINI METRO EV L.L.P,8,6,6,3,9,7,6,9,7,7,2,8
Uttar Pradesh,Ballia - UP60,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,2,3,1,0,1,0,0,2,0,2,0,0
Uttar Pradesh,Ballia - UP60,L3P,NEW ARCANA INDIA,0,0,0,0,0,1,0,3,0,4,4,7
Uttar Pradesh,Ballia - UP60,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,3,3,3,7,7,11,7,11,23,21,13,15
Uttar Pradesh,Ballia - UP60,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Ballia - UP60,L3P,OM RAJ AUTOTECH LLP,2,2,3,5,6,0,0,1,0,0,4,4
