State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Balrampur - UP47,ICE,BAJAJ AUTO LTD,204,241,261,410,391,277,257,179,106,257,443,238
Uttar Pradesh,Balrampur - UP47,ICE,BMW INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Balrampur - UP47,ICE,CLASSIC LEGENDS PVT LTD,1,1,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,Balrampur - UP47,ICE,HERO MOTOCORP LTD,505,700,702,"1,417","1,334",720,720,397,233,763,"1,697",543
Uttar Pradesh,Balrampur - UP47,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,210,206,280,312,501,278,318,216,141,267,715,230
Uttar Pradesh,Balrampur - UP47,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,0,0,0,1,0,0,1,0,0
Uttar Pradesh,Balrampur - UP47,ICE,INDIA YAMAHA MOTOR PVT LTD,8,7,11,20,25,14,15,6,11,16,37,12
Uttar Pradesh,Balrampur - UP47,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),31,43,33,99,85,39,38,23,21,70,114,33
Uttar Pradesh,Balrampur - UP47,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,0,1,1,1,0,1,1,1,0,1,2,1
Uttar Pradesh,Balrampur - UP47,ICE,TVS MOTOR COMPANY LTD,220,288,264,549,595,306,286,167,137,340,665,244
