State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Balrampur - UP47,L3G,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,0,0,3
Uttar Pradesh,Balrampur - UP47,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,ARCHIT ENTERPRISES,0,0,0,0,1,2,0,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,ATUT SANGAM,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,Balrampur - UP47,L3G,BRIGHT AUTOZONE PVT LTD,1,0,0,0,0,0,1,0,0,0,2,0
Uttar Pradesh,Balrampur - UP47,L3G,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,0,2,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,0,0,0,0,0,0,2,1,0,0
Uttar Pradesh,Balrampur - UP47,L3G,ENERGY ELECTRIC VEHICLES,0,3,2,0,0,0,2,3,0,2,2,1
Uttar Pradesh,Balrampur - UP47,L3G,GREENWHEELS AUTOMOBILE PVT LTD,0,1,0,2,0,0,0,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,HOTAGE INDIA,3,1,0,0,0,3,1,0,0,1,0,1
Uttar Pradesh,Balrampur - UP47,L3G,J. S. AUTO (P) LTD,6,2,2,3,7,0,1,4,5,1,3,1
Uttar Pradesh,Balrampur - UP47,L3G,LECTRIX E VEHICLES PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,MAHINDRA & MAHINDRA LIMITED,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,1,1,2
Uttar Pradesh,Balrampur - UP47,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,1,0,0,1,0,0
Uttar Pradesh,Balrampur - UP47,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,1,0
Uttar Pradesh,Balrampur - UP47,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,1,0
Uttar Pradesh,Balrampur - UP47,L3G,SHRIRAJ ELECTRIC VEHICLES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,SKS TRADE INDIA PVT LTD,0,0,1,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,UNIQUE ENTERPRISES,0,0,0,0,0,0,1,0,0,0,1,2
Uttar Pradesh,Balrampur - UP47,L3G,UNIQUE INTERNATIONAL,1,0,2,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,VANI ELECTRIC VEHICLES PVT LTD,0,0,0,2,0,2,0,0,0,7,5,3
Uttar Pradesh,Balrampur - UP47,L3G,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,6,0,0,0,0,1
Uttar Pradesh,Balrampur - UP47,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,12,0,0,0,4,0,0,0,0,0
Uttar Pradesh,Balrampur - UP47,L3G,YC ELECTRIC VEHICLE,0,0,0,0,4,1,0,3,0,0,0,0
