State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Barabanki ARTO - UP41,E2W,ATHER ENERGY LTD,1,1,3,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,ATUMOBILE PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,BAJAJ AUTO LTD,0,0,1,0,0,1,0,6,9,20,20,19
Uttar Pradesh,Barabanki ARTO - UP41,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,HERO MOTOCORP LTD,0,2,1,0,0,3,2,1,1,1,3,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,1,0,2,1,0,2,2,4,0,0,1
Uttar Pradesh,Barabanki ARTO - UP41,E2W,KLB KOMAKI PVT LTD,0,0,0,1,0,0,1,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,MECPOWER MOBILITY PVT. LTD.,0,0,0,0,0,0,1,6,0,2,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,OKAYA EV PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,OKINAWA AUTOTECH PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,35,54,74,59,56,55,93,62,37,101,65,21
Uttar Pradesh,Barabanki ARTO - UP41,E2W,REVOLT INTELLICORP PVT LTD,1,0,0,1,0,0,0,0,0,3,1,3
Uttar Pradesh,Barabanki ARTO - UP41,E2W,RGM BUSINESS PLUS PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,TVS MOTOR COMPANY LTD,0,5,3,0,6,1,11,5,3,14,24,6
Uttar Pradesh,Barabanki ARTO - UP41,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,1,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,E2W,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),0,0,0,0,0,0,0,0,0,0,0,1
