State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Barabanki ARTO - UP41,L3G,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,ARCHIT ENTERPRISES,0,0,0,0,1,0,1,0,1,0,1,2
Uttar Pradesh,Barabanki ARTO - UP41,L3G,AVON CYCLES LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,BABA E-VEHICLES,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,BHM INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Barabanki ARTO - UP41,L3G,BRIGHT AUTOZONE PVT LTD,0,2,1,1,1,0,2,0,1,2,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,CHAMPION POLY PLAST,0,1,0,0,1,0,2,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,DAKSH INDUSTRIES,0,0,0,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,DILLI ELECTRIC AUTO PVT LTD,0,1,1,3,2,0,1,0,0,2,2,1
Uttar Pradesh,Barabanki ARTO - UP41,L3G,E-ASHWA AUTOMOTIVE PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,ENERGY ELECTRIC VEHICLES,2,2,2,0,1,4,0,2,1,1,1,1
Uttar Pradesh,Barabanki ARTO - UP41,L3G,HOTAGE INDIA,2,2,0,0,4,1,0,0,0,0,1,2
Uttar Pradesh,Barabanki ARTO - UP41,L3G,HUNDAL INDUSTRIES,0,0,0,0,0,0,0,2,0,0,2,1
Uttar Pradesh,Barabanki ARTO - UP41,L3G,J. S. AUTO (P) LTD,1,1,3,2,3,0,3,2,1,1,5,2
Uttar Pradesh,Barabanki ARTO - UP41,L3G,KHALSAE-VEHICLES PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,K T ENTERPRISES,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,LECTRIX E VEHICLES PVT LTD,0,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,1,0,0,1,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,2,7,1,4,5,5,2,2,4,2,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,OK PLAY INDIA LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,SAERA ELECTRIC AUTO PVT LTD,2,0,2,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,3,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,SKS TRADE INDIA PVT LTD,1,0,0,0,0,0,0,1,1,1,1,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,THE COMMERCIAL MOTORS PVT LTD,0,0,4,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,1,0,0,1,0,0,0,1,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,2,0,0,1,1,1,1,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,UNIQUE ENTERPRISES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,UNIQUE INTERNATIONAL,0,0,0,1,0,0,0,1,0,0,2,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,7,11,0,6,2,1,0,1,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,VIJAYSHREE AUTOCOM LIMITED,2,0,2,0,1,2,3,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,YC ELECTRIC VEHICLE,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3G,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,0,0,0,0,0,0,1
