State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Barabanki ARTO - UP41,L3P,ALIED E MOBILITY PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,ALLENTTI MOTORS PVT LTD,1,3,1,0,0,0,0,5,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,ALLFINE INDUSTRIES PVT LTD,0,2,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,A P I MOTORS PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,ARCHIT ENTERPRISES,7,5,6,4,6,1,0,29,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,B24 ROKET EV,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,BALAJI TRADING COMPANY,0,0,0,4,0,0,0,4,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,BAXY LTD,2,3,2,1,0,4,0,12,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,BEST WAY AGENCIES PVT LTD,0,3,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,BHM INDUSTRIES,0,1,0,0,2,0,0,3,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,BRIGHT AUTOZONE PVT LTD,8,6,2,3,6,12,0,37,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,CHAMPION POLY PLAST,21,14,23,18,24,27,0,127,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,DAKSH INDUSTRIES,2,1,1,1,2,0,0,7,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,DILLI ELECTRIC AUTO PVT LTD,6,11,9,4,14,1,0,45,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,DUKE AUTO INDIA,1,0,0,1,1,0,0,3,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,E-ASHWA AUTOMOTIVE PVT LTD,0,0,0,2,1,0,0,3,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,ECO SMART VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,ENERGY ELECTRIC VEHICLES,6,5,6,2,8,12,0,39,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,EVCO AUTOMOBILES PVT LTD,8,3,10,7,4,1,0,33,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,EXTREME MOTORS,0,0,4,2,3,0,0,9,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,GOBIND INDUSTRIES PVT LTD,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,GRD MOTORS,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,GREENWHEELS AUTOMOBILE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,HARSH TRADING CO,0,3,3,4,3,0,0,13,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,HOTAGE INDIA,15,16,10,14,17,8,0,80,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,HUNDAL INDUSTRIES,0,1,2,9,2,0,0,14,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,INS AUTOMOBILES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,JITENDRA TEMPO PARTS,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,J. S. AUTO (P) LTD,8,7,4,9,8,4,0,40,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,2,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,KRISHNA ENGINEERING WORKS,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,LECTRIX E VEHICLES PVT LTD,2,1,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,MANIRAM ELECTRIC VEHICLE PVT LTD,4,3,3,5,1,2,0,18,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,MANITA CITY MOTORS LLP,0,1,2,1,0,0,0,4,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,MINI METRO EV L.L.P,1,2,0,2,1,2,0,8,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,NIPUN SANYANTRA PVT LTD,1,0,0,4,2,0,0,7,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,16,21,12,20,17,18,0,104,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,OK PLAY INDIA LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,OM RAJ AUTOTECH LLP,0,2,5,1,2,4,0,14,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,RACHANACREATIONS AUTO PVT LTD,11,1,4,4,7,2,0,29,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,1,2,0,1,0,4,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SAHNIANAND E VEHICLES PVT LTD,1,0,1,1,3,2,0,8,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SAKSHAM TECH AUTOMOBILES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SHALYA AUTO SALES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SHIGAN EVOLTZ LTD,1,0,0,2,0,0,0,3,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SHRI BARSANA E-VEHICLES PVT LTD,1,0,1,3,2,0,0,7,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SINGH AUTOMOBILES,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SKS TRADE INDIA PVT LTD,4,0,1,4,4,2,0,15,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SPEEGO VEHICLES CO PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SRD RENEWABLES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,SUPERTECH EV LIMITED,3,0,0,1,0,1,0,5,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,TEJAS ENERGY,0,1,0,0,1,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,TERRA MOTORS INDIA PVT LTD,2,1,1,2,1,0,0,7,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,THUKRAL ELECTRIC BIKES PVT LTD,4,2,4,6,5,2,0,23,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,TUFAN MOTORS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,T U K INDUSTRIES,2,0,2,3,4,0,0,11,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,UNIQUE ENTERPRISES,4,1,6,2,2,1,0,16,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,UNIQUE INTERNATIONAL,9,6,6,4,3,3,0,31,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,U.P. TELELINKS LIMITED,1,1,2,2,2,0,0,8,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,2,2,14,12,5,6,0,41,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,VIJAYSHREE AUTOCOM LIMITED,1,0,2,1,0,1,0,5,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,VRINDA ENTERPRISES,0,0,1,0,1,0,0,2,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,YC ELECTRIC VEHICLE,6,5,0,3,5,6,0,25,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,ZENIAK INNOVATION INDIA LTD,1,0,0,2,0,0,0,3,0,0,0
Uttar Pradesh,Barabanki ARTO - UP41,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,2,0,0,0,2,0,0,0
