State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,ATHER ENERGY LTD,0,0,1,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,BAJAJ AUTO LTD,1,1,0,1,0,1,4,0,3,0,7,2
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,1,0,2,0,0,1,0,0,0,0,0,2
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,EVTRIC MOTORS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,0,3,2,2,0,0,0,0,1,2,1
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,HERO ELECTRIC VEHICLES PVT. LTD,1,0,0,0,0,1,0,0,1,0,0,1
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,HERO MOTOCORP LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,3,1,0,3,2,2
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,2,1,0,1,0,3,1
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,LECTRIX E VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,OKAYA EV PVT LTD,2,0,3,1,5,1,1,3,0,0,1,1
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,OKINAWA AUTOTECH PVT LTD,1,0,0,0,1,0,0,0,0,0,2,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,20,19,12,11,16,13,21,12,13,28,17,5
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,2,0,0,2,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,RGM BUSINESS PLUS PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,TVS MOTOR COMPANY LTD,12,2,10,1,5,1,10,10,9,20,20,25
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,0,0,1,1,0,0,2,0,0,0,0
