State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,1,1,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,2,1,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,APM AUTO SALES,0,0,0,2,0,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,ATUL AUTO LTD,0,0,0,0,3,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,CHAMPION POLY PLAST,0,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,DILLI ELECTRIC AUTO PVT LTD,1,0,0,1,0,0,1,0,1,0,1,2
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,ENERGY ELECTRIC VEHICLES,0,0,1,1,1,1,0,0,0,1,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,EXIDE INDUSTRIES LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,JMT VEHICLES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,J. S. AUTO (P) LTD,0,0,0,0,1,0,0,0,0,0,0,1
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,LECTRIX E VEHICLES PVT LTD,0,0,2,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,MAA SHAKTI EXIM PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,1,0,0,0,0,0,0,1
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,MINI METRO EV L.L.P,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,3,3,2,2,0,0,4,2,1
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,0,0,0,2,1,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,1,0,2,1,0,1,1,4
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,SUPREME SMART POWER PVT LTD,0,0,1,0,2,2,0,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,SYNDICATE AUTO COMPONENTS,0,0,0,0,0,0,0,1,0,0,0,1
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,1,0,1,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,T U K INDUSTRIES,1,1,1,5,2,2,5,6,4,3,4,6
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,UNIQUE INTERNATIONAL,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,3,0,0,1,0,0,0,2,1,0
Uttar Pradesh,Bhadohi(SANT RAVIDAS NAGAR) - UP66,L3G,YC ELECTRIC VEHICLE,1,4,6,1,1,4,2,2,1,2,0,1
