State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Bulandshahar - UP13,E2W,AMPERE VEHICLES PRIVATE LIMITED,5,3,3,4,3,1,0,9,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,ATHER ENERGY LTD,0,1,0,0,1,1,2,1,1,4,3,2
Uttar Pradesh,Bulandshahar - UP13,E2W,BAJAJ AUTO LTD,4,3,6,2,2,1,6,9,8,9,15,7
Uttar Pradesh,Bulandshahar - UP13,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,BOUNCE ELECTRIC 1 PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,3,0,3,0,0,3,12,9,2
Uttar Pradesh,Bulandshahar - UP13,E2W,HERO ELECTRIC VEHICLES PVT. LTD,3,1,1,0,0,1,3,0,0,0,3,0
Uttar Pradesh,Bulandshahar - UP13,E2W,HERO MOTOCORP LTD,0,0,0,0,1,1,3,9,11,21,30,5
Uttar Pradesh,Bulandshahar - UP13,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,OKAYA EV PVT LTD,1,0,2,0,1,1,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,OKINAWA AUTOTECH PVT LTD,0,0,1,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,44,48,59,55,61,57,70,53,41,85,38,23
Uttar Pradesh,Bulandshahar - UP13,E2W,PUR ENERGY PVT LTD,22,22,27,13,30,15,20,25,19,2,21,24
Uttar Pradesh,Bulandshahar - UP13,E2W,REVOLT INTELLICORP PVT LTD,2,0,1,4,2,1,0,0,1,5,5,1
Uttar Pradesh,Bulandshahar - UP13,E2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,2,0
Uttar Pradesh,Bulandshahar - UP13,E2W,TVS MOTOR COMPANY LTD,0,1,9,1,2,6,9,5,14,14,23,12
Uttar Pradesh,Bulandshahar - UP13,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,4,0,0,1,0,0,1,2
Uttar Pradesh,Bulandshahar - UP13,E2W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),0,0,1,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,0,0,0,0,0,0,0,0,0,1,0
