State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Bulandshahar - UP13,ICE,ADISHWAR AUTO RIDE INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,ICE,BAJAJ AUTO LTD,207,265,247,219,267,217,241,258,163,255,674,200
Uttar Pradesh,Bulandshahar - UP13,ICE,BMW INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,1,0
Uttar Pradesh,Bulandshahar - UP13,ICE,CLASSIC LEGENDS PVT LTD,4,1,4,1,3,7,1,3,0,11,11,2
Uttar Pradesh,Bulandshahar - UP13,ICE,HERO MOTOCORP LTD,"1,909","1,968","2,082","1,797","1,674","1,485","1,665","1,404","1,148","2,149","4,802","1,144"
Uttar Pradesh,Bulandshahar - UP13,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,580,407,490,532,517,464,506,467,392,641,"1,508",320
Uttar Pradesh,Bulandshahar - UP13,ICE,INDIA KAWASAKI MOTORS PVT LTD,1,0,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,ICE,INDIA YAMAHA MOTOR PVT LTD,21,19,10,12,21,12,20,15,21,17,34,12
Uttar Pradesh,Bulandshahar - UP13,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Bulandshahar - UP13,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),210,210,187,194,161,104,103,103,84,221,329,170
Uttar Pradesh,Bulandshahar - UP13,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,19,22,26,29,30,19,29,22,23,18,50,13
Uttar Pradesh,Bulandshahar - UP13,ICE,TVS MOTOR COMPANY LTD,564,539,578,638,588,485,517,474,406,647,"1,431",418
