State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Bulandshahar - UP13,L3P,3S INDUSTRIES PRIVATE LIMITED,0,1,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,AKG INTERNATIONAL,0,0,0,0,6,5,17,1,6,4,9,5
Uttar Pradesh,Bulandshahar - UP13,L3P,A K GUPTA & CO.,0,0,1,0,0,1,1,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Bulandshahar - UP13,L3P,A.R. MOTOR,0,0,0,0,0,0,0,0,0,0,2,1
Uttar Pradesh,Bulandshahar - UP13,L3P,ASHA IMPEX,0,2,0,1,0,1,0,1,1,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,1,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,ATUT SANGAM,12,1,0,1,1,7,7,7,2,3,2,6
Uttar Pradesh,Bulandshahar - UP13,L3P,A.V.AUTOMOTIVES PVT LTD,4,1,1,1,1,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,B24 ROKET EV,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,BAJAJ IMPLEMENTS PVT. LTD,0,0,8,3,4,1,6,3,1,0,2,2
Uttar Pradesh,Bulandshahar - UP13,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,0,4,2,0,0,0,3,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,3,2,7,2,10,3,8,10,5,11,2,4
Uttar Pradesh,Bulandshahar - UP13,L3P,CARREE YUNUS VEHICLE PVT LTD,0,0,0,0,0,0,0,0,0,2,2,3
Uttar Pradesh,Bulandshahar - UP13,L3P,CG & BROTHER CO,0,0,0,0,0,0,0,0,0,0,5,4
Uttar Pradesh,Bulandshahar - UP13,L3P,CHAMPION POLY PLAST,6,1,7,1,22,6,7,2,8,15,14,2
Uttar Pradesh,Bulandshahar - UP13,L3P,CHANDAKE-AUTOMOBILES LLP,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Bulandshahar - UP13,L3P,CHEHAK BATTERIES,0,0,0,0,0,0,1,0,2,0,1,0
Uttar Pradesh,Bulandshahar - UP13,L3P,DAKSH INDUSTRIES,0,0,0,0,0,0,0,25,4,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,DEVAM ELECTRIC VEHICLES PVT LTD,3,1,2,1,0,0,0,0,2,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,DEV MOTORS,0,0,0,0,0,0,0,0,0,0,4,0
Uttar Pradesh,Bulandshahar - UP13,L3P,DIAMOND E VEHICLES,0,0,0,0,0,0,0,13,11,4,6,4
Uttar Pradesh,Bulandshahar - UP13,L3P,DILLI ELECTRIC AUTO PVT LTD,15,1,1,2,4,9,37,6,2,7,1,4
Uttar Pradesh,Bulandshahar - UP13,L3P,DIVANSU AUTOMOBILES LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,D S INDUSTRIES,1,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,E-GURU AUTO ENERGY,0,0,6,11,17,14,12,3,9,2,8,2
Uttar Pradesh,Bulandshahar - UP13,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,1,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Bulandshahar - UP13,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,13,6,3,1,0,3,5,1,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,ENERGY ELECTRIC VEHICLES,1,2,3,1,1,5,4,7,3,4,5,4
Uttar Pradesh,Bulandshahar - UP13,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,0,2,0
Uttar Pradesh,Bulandshahar - UP13,L3P,EVEX AUTO INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,GAGAN AUTOMOTIVES,0,0,0,0,0,0,0,0,0,0,1,3
Uttar Pradesh,Bulandshahar - UP13,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,6,12,5,2,5,29,22,13,7,8,5,8
Uttar Pradesh,Bulandshahar - UP13,L3P,GRD MOTORS,3,8,1,2,3,4,12,20,17,5,8,4
Uttar Pradesh,Bulandshahar - UP13,L3P,GREEN STAR MOTORS,0,0,3,0,4,3,3,2,0,0,0,1
Uttar Pradesh,Bulandshahar - UP13,L3P,HANUMAN UDYOG,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,HARSH TRADING CO,9,0,1,0,5,2,10,6,3,1,1,1
Uttar Pradesh,Bulandshahar - UP13,L3P,HOTAGE INDIA,16,13,6,9,11,17,28,21,16,11,8,12
Uttar Pradesh,Bulandshahar - UP13,L3P,HOVEL CYLINDER PVT LTD,0,0,0,0,1,0,1,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,INDIAN MOTORS,10,4,6,6,16,12,32,9,10,7,11,2
Uttar Pradesh,Bulandshahar - UP13,L3P,INTERGLOBE ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,Bulandshahar - UP13,L3P,J. S. AUTO (P) LTD,1,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,JS MOBILEON PVT LTD,34,23,19,23,25,30,96,26,30,44,15,30
Uttar Pradesh,Bulandshahar - UP13,L3P,KAKKAR ELECTRIC AUTO PVT LTD,0,0,0,0,1,1,2,0,0,0,0,0
Uttar Pradesh,Bulandshahar - UP13,L3P,KANHA ELECTRIC VEHICLES,0,0,0,0,0,0,0,0,0,1,3,3
Uttar Pradesh,Bulandshahar - UP13,L3P,KAPTECH INDIA PVT LTD,10,11,8,5,8,10,11,1,10,16,13,6
Uttar Pradesh,Bulandshahar - UP13,L3P,KGN INDUSTRIES,4,5,3,2,0,0,3,4,4,1,2,1
