State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Bulandshahar - UP13,E2W,ATHER ENERGY LTD,0,1,1,2,6,17,0,27,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,BAJAJ AUTO LTD,16,7,18,6,7,13,0,67,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,0,0,0,0,0,0,1,1,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,1,1,0,1,0,0,3,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,HERO MOTOCORP LTD,1,12,25,27,26,32,0,123,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,0,0,0,1,0,0,2,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,KLB KOMAKI PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,LECTRIX E VEHICLES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,6,9,2,0,17,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,36,16,62,49,46,47,1,257,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,PUR ENERGY PVT LTD,9,34,24,6,13,6,0,92,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,REVOLT INTELLICORP PVT LTD,5,3,1,1,1,2,0,13,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,SOKUDO ELECTRIC INDIA PVT LTD,2,3,0,1,0,0,0,6,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,TVS MOTOR COMPANY LTD,17,13,20,11,45,33,0,139,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,2,0,3,0,5,0,0,0
Uttar Pradesh,Bulandshahar - UP13,E2W,WARIVO MOTOR INDIA PVT LTD,0,0,0,0,0,3,0,3,0,0,0
