State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Chandauli - UP67,L3G,AMBIKA INDUSTRIES,1,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,BAXY LTD,0,0,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,CHAMPION POLY PLAST,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Chandauli - UP67,L3G,ENERGY ELECTRIC VEHICLES,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,EXIDE INDUSTRIES LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Chandauli - UP67,L3G,HOP MOTORS PVT LTD,1,1,2,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,J. S. AUTO (P) LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,MINI METRO EV L.L.P,0,0,0,1,0,0,0,1,2,0,0,2
Uttar Pradesh,Chandauli - UP67,L3G,RAYON ENGINEERS,1,0,0,1,0,0,1,0,1,0,1,1
Uttar Pradesh,Chandauli - UP67,L3G,REFLEX CONTROL SYSTEM PVT .LTD,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,Chandauli - UP67,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Chandauli - UP67,L3G,SAGAR FABRICATIONS,0,0,0,0,1,0,2,0,0,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,1
Uttar Pradesh,Chandauli - UP67,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,1,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Chandauli - UP67,L3G,T U K INDUSTRIES,0,1,0,0,0,1,1,0,1,0,0,1
Uttar Pradesh,Chandauli - UP67,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,0,0,0,0,3,0,0
Uttar Pradesh,Chandauli - UP67,L3G,U.P. TELELINKS LIMITED,0,2,0,0,1,0,2,0,0,1,0,1
Uttar Pradesh,Chandauli - UP67,L3G,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Chandauli - UP67,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,0,1,1,0,2,0,1,2,1,3
Uttar Pradesh,Chandauli - UP67,L3G,YC ELECTRIC VEHICLE,0,1,0,1,1,2,0,1,1,1,0,1
