State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Chandauli - UP67,L3P,ALLFINE INDUSTRIES PVT LTD,3,0,0,7,4,1,0,15,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,1,0,0,1,0,0,2,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,ARCHIT ENTERPRISES,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,ATUL AUTO LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,B24 ROKET EV,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,BEST WAY AGENCIES PVT LTD,0,5,15,4,5,9,0,38,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,CHAMPION POLY PLAST,0,1,5,0,2,5,1,14,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,DEV MOTORS,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,DILLI ELECTRIC AUTO PVT LTD,1,2,3,3,3,5,0,17,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,ECO SMART VEHICLES PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,INDIAN MOTORS,4,4,3,1,6,5,0,23,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,INTERGLOBE ENERGY PVT LTD,0,0,0,3,4,8,2,17,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,JMT VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,J. S. AUTO (P) LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,LECTRIX E VEHICLES PVT LTD,1,2,1,0,1,1,0,6,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,MAHINDRA LAST MILE MOBILITY LTD,2,2,3,0,2,0,0,9,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,MINI METRO EV L.L.P,0,0,8,7,3,8,0,26,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,OKAYA POWER PVT LTD,0,0,0,1,11,0,0,12,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,PARAS INDUSTRIES,0,2,1,0,1,0,0,4,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,RAYON ENGINEERS,5,0,0,7,1,3,0,16,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,SAERA ELECTRIC AUTO PVT LTD,6,2,0,2,1,0,0,11,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,SAKSHAM TRADING COMPANY,3,2,4,0,3,4,0,16,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,SIRF INDIA VEHICLES PVT LTD,2,0,0,0,0,1,0,3,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,SKS TRADE INDIA PVT LTD,4,0,0,2,2,0,0,8,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,SPEEGO VEHICLES CO PVT LTD,0,2,2,1,1,1,0,7,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,TERRA MOTORS INDIA PVT LTD,0,0,2,0,4,0,0,6,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,THUKRAL ELECTRIC BIKES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,TRISHIKA INDUSTRIES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,UNIQUE INTERNATIONAL,0,0,2,0,1,0,0,3,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,U.P. TELELINKS LIMITED,1,1,0,2,1,1,0,6,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,2,12,4,6,0,2,0,26,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,YC ELECTRIC VEHICLE,3,1,1,2,0,3,0,10,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,ZENIAK INNOVATION INDIA LTD,3,3,1,0,2,1,0,10,0,0,0
Uttar Pradesh,Chandauli - UP67,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,7,4,0,6,9,1,0,27,0,0,0
