State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,DEORIA - UP52,E2W,ATHER ENERGY LTD,0,2,0,0,0,0,1,2,1,2,0,1
Uttar Pradesh,DEORIA - UP52,E2W,BAJAJ AUTO LTD,0,0,0,0,0,2,2,12,4,15,19,15
Uttar Pradesh,DEORIA - UP52,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,0,7,7,29,9
Uttar Pradesh,DEORIA - UP52,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,DEORIA - UP52,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,2,0,3,0,0,2,0,0,0
Uttar Pradesh,DEORIA - UP52,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,2,0,2,3,1,0
Uttar Pradesh,DEORIA - UP52,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,E2W,KLB KOMAKI PVT LTD,1,0,0,2,0,3,0,0,2,1,0,0
Uttar Pradesh,DEORIA - UP52,E2W,LECTRIX E VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,E2W,OKAYA EV PVT LTD,0,0,0,0,1,3,0,0,1,0,0,0
Uttar Pradesh,DEORIA - UP52,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,32,51,70,49,62,57,64,45,32,108,62,26
Uttar Pradesh,DEORIA - UP52,E2W,PUR ENERGY PVT LTD,2,1,0,1,0,1,1,1,0,1,2,0
Uttar Pradesh,DEORIA - UP52,E2W,REVOLT INTELLICORP PVT LTD,1,1,0,0,2,12,5,7,14,6,24,4
Uttar Pradesh,DEORIA - UP52,E2W,RGM BUSINESS PLUS PVT LTD,0,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,DEORIA - UP52,E2W,TVS MOTOR COMPANY LTD,5,6,18,1,5,4,17,12,19,35,34,24
Uttar Pradesh,DEORIA - UP52,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,19,7,7,21,2,4,7,6,5,0,0,2
