State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,DEORIA - UP52,ICE,BAJAJ AUTO LTD,506,572,520,700,649,527,395,311,233,570,"1,430",494
Uttar Pradesh,DEORIA - UP52,ICE,BMW INDIA PVT LTD,0,0,0,0,0,1,1,0,0,0,0,1
Uttar Pradesh,DEORIA - UP52,ICE,CLASSIC LEGENDS PVT LTD,1,0,0,0,0,0,2,0,0,8,5,0
Uttar Pradesh,DEORIA - UP52,ICE,HERO MOTOCORP LTD,"1,208","1,435","1,468","2,418","1,671","1,313","1,368","1,040",564,"2,195","4,024","1,266"
Uttar Pradesh,DEORIA - UP52,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,193,220,260,310,375,296,269,271,195,444,754,325
Uttar Pradesh,DEORIA - UP52,ICE,INDIA YAMAHA MOTOR PVT LTD,9,12,21,25,35,9,15,25,7,17,42,21
Uttar Pradesh,DEORIA - UP52,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),120,166,122,233,121,124,85,103,84,298,352,106
Uttar Pradesh,DEORIA - UP52,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,1,2,2,2,3,2,2,0,1,1,3,0
Uttar Pradesh,DEORIA - UP52,ICE,TVS MOTOR COMPANY LTD,488,558,574,651,569,446,455,375,352,685,"1,121",477
Uttar Pradesh,DEORIA - UP52,ICE,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),0,0,0,1,0,0,0,0,0,0,0,0
