State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,DEORIA - UP52,L3G,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,0,1,2,1,0,1
Uttar Pradesh,DEORIA - UP52,L3G,ALLFINE INDUSTRIES PVT LTD,0,1,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,AMBIKA INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,ATUL AUTO LTD,0,1,14,1,10,8,1,0,1,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,ATUT SANGAM,0,0,1,0,0,0,0,0,0,0,0,1
Uttar Pradesh,DEORIA - UP52,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,3,0,0,3
Uttar Pradesh,DEORIA - UP52,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,DEORIA - UP52,L3G,CHAMPION POLY PLAST,1,0,0,0,1,0,0,0,1,0,2,0
Uttar Pradesh,DEORIA - UP52,L3G,CHEHAK BATTERIES,0,0,0,0,0,0,0,0,0,5,0,0
Uttar Pradesh,DEORIA - UP52,L3G,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,1,1,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,DELTA AUTOCORP LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,DILLI ELECTRIC AUTO PVT LTD,18,0,1,3,2,0,1,5,0,3,1,1
Uttar Pradesh,DEORIA - UP52,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,1,1,0,0,2,0,0,0,3
Uttar Pradesh,DEORIA - UP52,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,1
Uttar Pradesh,DEORIA - UP52,L3G,GREENWHEELS AUTOMOBILE PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,HOTAGE INDIA,0,0,0,0,0,1,2,1,1,1,1,1
Uttar Pradesh,DEORIA - UP52,L3G,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,JAISIK BUSINESS LINKS PVT LTD,0,0,0,0,0,0,0,0,1,0,0,1
Uttar Pradesh,DEORIA - UP52,L3G,JESSUN TECHNO PVT LTD,0,3,0,1,0,0,0,1,1,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,JMT VEHICLES PVT LTD,0,0,1,0,1,0,1,0,2,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,J. S. AUTO (P) LTD,2,8,8,7,5,8,2,9,3,2,9,8
Uttar Pradesh,DEORIA - UP52,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,1,2,4,1,0,1
Uttar Pradesh,DEORIA - UP52,L3G,K T ENTERPRISES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,LOHIA AUTO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,DEORIA - UP52,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,1,0,0,0,1,0,1,0,1,0,1
Uttar Pradesh,DEORIA - UP52,L3G,RUTBA PRODUCT PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,DEORIA - UP52,L3G,SAERA ELECTRIC AUTO PVT LTD,1,1,1,0,0,1,0,0,0,1,1,0
Uttar Pradesh,DEORIA - UP52,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,1,0,1,0,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,SHAKTI AUTO GREEN,0,0,0,0,0,0,0,0,1,1,0,1
Uttar Pradesh,DEORIA - UP52,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,SKS TRADE INDIA PVT LTD,6,1,0,0,3,2,0,1,2,3,1,3
Uttar Pradesh,DEORIA - UP52,L3G,SPEEGO VEHICLES CO PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,2,0,0,0,0,0,0,0,0,1
Uttar Pradesh,DEORIA - UP52,L3G,TRISHIKA INDUSTRIES,0,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,DEORIA - UP52,L3G,UNIQUE ENTERPRISES,0,0,0,0,0,0,0,0,5,0,2,0
Uttar Pradesh,DEORIA - UP52,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,1,6,14,0,0,2,0,0,1,0,1,2
Uttar Pradesh,DEORIA - UP52,L3G,YC ELECTRIC VEHICLE,0,0,1,0,1,1,3,7,1,0,1,2
Uttar Pradesh,DEORIA - UP52,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,0,0,0,1,2
