State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Etah - UP82,L3P,A K GUPTA & CO.,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Etah - UP82,L3P,ALLFINE INDUSTRIES PVT LTD,10,13,4,1,11,0,11,5,9,5,0,6
Uttar Pradesh,Etah - UP82,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,2,0,0,1,2,3,1,1,1,0,1,0
Uttar Pradesh,Etah - UP82,L3P,AMBIKA INDUSTRIES,0,0,0,8,5,6,8,7,6,13,1,10
Uttar Pradesh,Etah - UP82,L3P,ATTOLENT AUTO GROUP PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,BAXY LTD,3,4,2,0,1,1,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,0,5,1,0,2,0,0,2,0
Uttar Pradesh,Etah - UP82,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,BHM INDUSTRIES,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,CARREE YUNUS VEHICLE PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,CHAMPION POLY PLAST,1,2,5,6,3,6,3,5,7,0,10,5
Uttar Pradesh,Etah - UP82,L3P,CONTINENTAL ENGINES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,DAKSH INDUSTRIES,0,2,0,0,1,0,0,1,0,0,0,1
Uttar Pradesh,Etah - UP82,L3P,DEV MOTORS,0,0,0,0,0,0,1,1,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,1,0,2,0,1,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,DUKE AUTO INDIA,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Etah - UP82,L3P,ELITE AUTO ENGINEERS PVT LTD,0,2,0,2,1,1,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ENERGY ELECTRIC VEHICLES,0,0,2,1,1,0,0,0,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,4,2,2,5,2,3
Uttar Pradesh,Etah - UP82,L3P,EXIDE INDUSTRIES LTD,0,0,1,0,0,3,0,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,EXTREME MOTORS,0,0,0,0,0,0,0,5,0,1,0,0
Uttar Pradesh,Etah - UP82,L3P,GAGAN AUTOMOTIVES,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Etah - UP82,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,4,4,0,0,5,3,3,0,0,5,4,4
Uttar Pradesh,Etah - UP82,L3P,GRD MOTORS,0,0,1,0,0,0,0,1,0,0,0,2
Uttar Pradesh,Etah - UP82,L3P,HOTAGE INDIA,0,2,0,0,0,0,0,1,0,1,0,0
Uttar Pradesh,Etah - UP82,L3P,INDIAN MOTORS,1,0,2,1,1,0,0,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,JMT VEHICLES PVT LTD,15,4,7,6,2,6,10,7,7,3,3,5
Uttar Pradesh,Etah - UP82,L3P,J. S. AUTO (P) LTD,1,3,4,0,0,5,0,2,0,3,0,5
Uttar Pradesh,Etah - UP82,L3P,KCAS ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,2,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,KGN INDUSTRIES,1,0,0,0,0,0,0,0,0,1,1,0
Uttar Pradesh,Etah - UP82,L3P,KHALSAE-VEHICLES PVT LTD,2,0,0,2,0,0,2,2,1,1,3,3
Uttar Pradesh,Etah - UP82,L3P,KRISHNA ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Etah - UP82,L3P,LAKSHYA MOTORS,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,Etah - UP82,L3P,MAA SHAKTI EXIM PVT LTD,0,0,1,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MAHAK TEEN UDYOG,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Etah - UP82,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,4,2,1,4,2,4,4,4,1,0,9
Uttar Pradesh,Etah - UP82,L3P,MAHINDRA & MAHINDRA LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MANIRAM ELECTRIC VEHICLE PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MANITA CITY MOTORS LLP,1,1,0,0,0,1,0,0,0,0,0,0
