State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Etah - UP82,L3P,A K GUPTA & CO.,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ALLFINE INDUSTRIES PVT LTD,2,1,1,1,1,3,0,9,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,AMBIKA INDUSTRIES,2,0,1,1,1,0,0,5,0,0,0
Uttar Pradesh,Etah - UP82,L3P,A N ENTERPRISES,0,0,0,0,5,3,0,8,0,0,0
Uttar Pradesh,Etah - UP82,L3P,A.R. MOTOR,0,0,0,11,6,3,1,21,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,9,4,2,0,15,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ATUT SANGAM,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,BADSHAH ENTERPRISES,0,0,0,11,1,0,0,12,0,0,0
Uttar Pradesh,Etah - UP82,L3P,BEST WAY AGENCIES PVT LTD,1,1,2,4,2,1,0,11,0,0,0
Uttar Pradesh,Etah - UP82,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,CARREE YUNUS VEHICLE PVT LTD,0,0,0,1,2,0,0,3,0,0,0
Uttar Pradesh,Etah - UP82,L3P,CHAMPION POLY PLAST,2,4,1,1,5,8,0,21,0,0,0
Uttar Pradesh,Etah - UP82,L3P,DAKSH INDUSTRIES,0,0,0,4,1,1,1,7,0,0,0
Uttar Pradesh,Etah - UP82,L3P,DEV MOTORS,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,DILLI ELECTRIC AUTO PVT LTD,0,2,2,2,0,0,0,6,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ELITE AUTO ENGINEERS PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,EVCO AUTOMOBILES PVT LTD,0,1,0,3,11,5,1,21,0,0,0
Uttar Pradesh,Etah - UP82,L3P,EXTREME MOTORS,0,0,0,3,1,1,0,5,0,0,0
Uttar Pradesh,Etah - UP82,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,1,1,8,3,3,0,16,0,0,0
Uttar Pradesh,Etah - UP82,L3P,GRD MOTORS,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,GREEN TECHNOLOGIES,1,1,1,1,0,0,0,4,0,0,0
Uttar Pradesh,Etah - UP82,L3P,HANUMAN UDYOG,0,2,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,HITECH  MECHANICAL WORKS,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,HOTAGE INDIA,0,0,0,1,5,3,0,9,0,0,0
Uttar Pradesh,Etah - UP82,L3P,INTERGLOBE ENERGY PVT LTD,0,0,16,10,9,9,0,44,0,0,0
Uttar Pradesh,Etah - UP82,L3P,JMT VEHICLES PVT LTD,2,4,4,14,9,5,0,38,0,0,0
Uttar Pradesh,Etah - UP82,L3P,J. S. AUTO (P) LTD,1,1,4,2,5,1,0,14,0,0,0
Uttar Pradesh,Etah - UP82,L3P,JS MOBILEON PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,KAPTECH INDIA PVT LTD,0,0,0,0,2,3,0,5,0,0,0
Uttar Pradesh,Etah - UP82,L3P,KCAS ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,KGN INDUSTRIES,0,0,0,6,0,0,1,7,0,0,0
Uttar Pradesh,Etah - UP82,L3P,KHALSAE-VEHICLES PVT LTD,1,0,0,2,0,3,1,7,0,0,0
Uttar Pradesh,Etah - UP82,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,2,2,3,3,0,10,0,0,0
Uttar Pradesh,Etah - UP82,L3P,KRISHNA ENGINEERING WORKS,0,0,1,1,1,0,0,3,0,0,0
Uttar Pradesh,Etah - UP82,L3P,LAKSHYA MOTORS,0,3,0,1,1,0,0,5,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MAHAK TEEN UDYOG,0,0,2,2,1,2,0,7,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MAHINDRA LAST MILE MOBILITY LTD,1,2,2,1,3,1,0,10,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MANIRAM ELECTRIC VEHICLE PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MANITA CITY MOTORS LLP,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MILLENNIAL MOTORS LLP,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,MINI METRO EV L.L.P,2,3,5,18,9,7,0,44,0,0,0
Uttar Pradesh,Etah - UP82,L3P,M/S SHRIRAM AUTO TECH PVT LTD,4,3,3,5,6,4,0,25,0,0,0
Uttar Pradesh,Etah - UP82,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,PARAS INDUSTRIES,0,0,0,2,2,0,0,4,0,0,0
Uttar Pradesh,Etah - UP82,L3P,PARI E-VEHICLES,3,0,1,7,3,2,0,16,0,0,0
Uttar Pradesh,Etah - UP82,L3P,PRAJJWAL MAHAJAN TRADERS,0,0,0,5,0,0,0,5,0,0,0
Uttar Pradesh,Etah - UP82,L3P,RAYON ENGINEERS,0,0,3,3,4,1,0,11,0,0,0
Uttar Pradesh,Etah - UP82,L3P,RCJ AUTO FORGE PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,REPUBLIC MOTORS,0,0,0,0,1,2,0,3,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SAERA ELECTRIC AUTO PVT LTD,0,7,0,12,3,3,0,25,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SAHNIANAND E VEHICLES PVT LTD,1,1,0,15,7,3,0,27,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,2,1,1,0,4,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SHREE MARUTI NANDAN BUSINESSS (P) LTD,0,0,1,1,7,3,0,12,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,3,3,11,5,11,0,33,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SINGH AUTOMOBILES,0,0,0,1,10,0,0,11,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SKS TRADE INDIA PVT LTD,6,2,2,5,1,2,0,18,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SN SOLAR ENERGY,1,0,0,7,3,6,0,17,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SRD RENEWABLES,4,2,4,1,2,2,0,15,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SUPER METRO INDUSTRIES,0,0,0,11,1,0,0,12,0,0,0
Uttar Pradesh,Etah - UP82,L3P,SUPREME SALES AGENCY,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,Etah - UP82,L3P,THUKRAL ELECTRIC BIKES PVT LTD,1,0,1,4,1,0,0,7,0,0,0
Uttar Pradesh,Etah - UP82,L3P,T U K INDUSTRIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,1,7,15,0,0,23,0,0,0
Uttar Pradesh,Etah - UP82,L3P,UNIQUE ENTERPRISES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,UNIQUE INTERNATIONAL,1,1,2,23,10,3,0,40,0,0,0
Uttar Pradesh,Etah - UP82,L3P,U.P. TELELINKS LIMITED,0,0,1,1,6,0,0,8,0,0,0
Uttar Pradesh,Etah - UP82,L3P,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,1,0,0,3,10,9,0,23,0,0,0
Uttar Pradesh,Etah - UP82,L3P,VIMAL UNIVERSAL TRADE PVT LTD,1,8,4,5,1,3,0,22,0,0,0
Uttar Pradesh,Etah - UP82,L3P,VRINDA ENTERPRISES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Etah - UP82,L3P,YC ELECTRIC VEHICLE,1,0,0,3,0,0,0,4,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ZENIAK INNOVATION INDIA LTD,0,0,0,2,0,1,0,3,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ZENTHIUM EV PVT LTD,1,0,0,2,2,1,0,6,0,0,0
Uttar Pradesh,Etah - UP82,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,6,2,9,47,36,21,0,121,0,0,0
