State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Etawah - UP75,ICE,BAJAJ AUTO LTD,288,293,376,399,330,249,281,201,121,260,630,261
Uttar Pradesh,Etawah - UP75,ICE,BMW INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Etawah - UP75,ICE,CLASSIC LEGENDS PVT LTD,6,0,1,4,4,0,2,2,1,0,7,2
Uttar Pradesh,Etawah - UP75,ICE,HERO MOTOCORP LTD,649,734,809,"1,143",667,669,754,667,411,"1,003","1,892",396
Uttar Pradesh,Etawah - UP75,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,152,145,133,167,136,135,140,150,105,199,384,81
Uttar Pradesh,Etawah - UP75,ICE,INDIA YAMAHA MOTOR PVT LTD,16,16,0,35,10,15,13,14,12,20,33,8
Uttar Pradesh,Etawah - UP75,ICE,PIAGGIO VEHICLES PVT LTD,0,1,0,1,0,0,0,1,0,0,2,0
Uttar Pradesh,Etawah - UP75,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),47,47,41,65,33,29,36,39,23,116,61,32
Uttar Pradesh,Etawah - UP75,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,10,13,8,17,5,4,7,9,12,24,15,6
Uttar Pradesh,Etawah - UP75,ICE,TVS MOTOR COMPANY LTD,240,398,285,422,273,229,222,220,166,453,657,177
