State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Etawah - UP75,L3P,3S INDUSTRIES PRIVATE LIMITED,2,1,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,ACCRETION POWER AUTOS,0,0,2,1,0,1,0,4,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,AERODRIVE PVT LTD,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,AMBIKA INDUSTRIES,2,2,4,3,1,0,1,13,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,APM AUTO SALES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,A.R. MOTOR,0,0,0,4,1,1,0,6,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,AVL ELECTRIC VEHICLES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,B24 ROKET EV,0,0,12,13,7,5,0,37,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,BEST WAY AGENCIES PVT LTD,3,0,1,3,1,3,0,11,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,1,4,2,2,1,1,0,11,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,BHM INDUSTRIES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,BRIGHT AUTOZONE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,CHAMPION POLY PLAST,3,0,2,2,0,0,0,7,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,DEV MOTORS,0,0,0,3,0,0,0,3,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,DILLI ELECTRIC AUTO PVT LTD,2,0,0,1,1,1,0,5,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,1,0,0,0,0,2,0,3,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,ENERGY ELECTRIC VEHICLES,2,0,6,7,1,3,0,19,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,3,0,0,0,0,3,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,GREEN TECHNOLOGIES,0,2,1,0,0,0,0,3,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,HOTAGE INDIA,3,3,5,10,9,1,0,31,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,JMT VEHICLES PVT LTD,3,0,0,0,0,0,0,3,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,J. S. AUTO (P) LTD,1,2,2,1,2,1,0,9,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Etawah - UP75,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,1,0,1,0,0,0
