State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,FEROZABAD - UP83,E2W,AMO MOBILITY SOLUTIONS PVT LTD,0,0,1,0,0,0,3,0,4,0,0,0
Uttar Pradesh,FEROZABAD - UP83,E2W,ATHER ENERGY LTD,1,1,5,2,2,1,5,1,3,2,7,4
Uttar Pradesh,FEROZABAD - UP83,E2W,BAJAJ AUTO LTD,1,6,4,1,2,10,8,21,15,24,72,24
Uttar Pradesh,FEROZABAD - UP83,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,1,0,1,0,3,1,0,4,0,4,2,0
Uttar Pradesh,FEROZABAD - UP83,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,2,0,0,0,1,0,0,0,1,0
Uttar Pradesh,FEROZABAD - UP83,E2W,GOREEN E-MOBILITY PVT LTD,0,0,1,0,0,0,1,1,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,1,0,1,2,1,0,0
Uttar Pradesh,FEROZABAD - UP83,E2W,HERO MOTOCORP LTD,0,1,1,0,2,0,2,2,4,5,3,0
Uttar Pradesh,FEROZABAD - UP83,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,4,2,0,2,4
Uttar Pradesh,FEROZABAD - UP83,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,FEROZABAD - UP83,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,E2W,OKAYA EV PVT LTD,0,0,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,21,21,30,23,19,27,43,29,14,50,31,10
Uttar Pradesh,FEROZABAD - UP83,E2W,PUR ENERGY PVT LTD,3,0,0,2,0,0,7,3,0,0,7,2
Uttar Pradesh,FEROZABAD - UP83,E2W,QUANTUM ENERGY LTD.,0,0,0,0,0,0,0,0,0,1,2,1
Uttar Pradesh,FEROZABAD - UP83,E2W,REVOLT INTELLICORP PVT LTD,0,0,1,0,0,0,2,1,0,1,2,1
Uttar Pradesh,FEROZABAD - UP83,E2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,4,0,0,1,0,0,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,E2W,TVS MOTOR COMPANY LTD,5,1,12,3,4,8,13,12,22,64,108,59
Uttar Pradesh,FEROZABAD - UP83,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,18,3,11,11,7,17,7,2,29,25,14
