State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,FEROZABAD - UP83,L3G,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,2,3,1,1,2,0,3
Uttar Pradesh,FEROZABAD - UP83,L3G,ACCRETION POWER AUTOS,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,FEROZABAD - UP83,L3G,A.J ENTERPRISES,6,2,0,1,0,2,0,1,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,1,1,0,2,1,5,6,7,1,7,2,1
Uttar Pradesh,FEROZABAD - UP83,L3G,A.V.AUTOMOTIVES PVT LTD,1,2,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,BAJAJ IMPLEMENTS PVT. LTD,0,0,0,0,0,0,0,0,0,1,1,0
Uttar Pradesh,FEROZABAD - UP83,L3G,BHM INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,CHAMPION POLY PLAST,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,FEROZABAD - UP83,L3G,DEVAM ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,FEROZABAD - UP83,L3G,HOTAGE INDIA,3,0,0,1,0,1,0,0,0,0,2,1
Uttar Pradesh,FEROZABAD - UP83,L3G,HOVEL CYLINDER PVT LTD,0,0,4,2,0,0,0,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,JAYNA AUTOMOBILES LLP,0,0,0,2,3,0,2,0,2,0,4,3
Uttar Pradesh,FEROZABAD - UP83,L3G,J. S. AUTO (P) LTD,2,0,0,0,3,0,2,1,0,1,1,1
Uttar Pradesh,FEROZABAD - UP83,L3G,K T ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,6
Uttar Pradesh,FEROZABAD - UP83,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,MANITA CITY MOTORS LLP,0,0,0,3,1,4,0,2,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,MINI METRO EV L.L.P,0,0,2,0,0,1,0,1,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,3,2,3,2,3,4,0,3,0,6,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,1,0,1,0,1,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SAHNIANAND E VEHICLES PVT LTD,4,4,0,0,3,3,4,0,8,0,3,3
Uttar Pradesh,FEROZABAD - UP83,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,1,1,1,0,0,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SHINME ELECTRICAL VEHICLE PVT LTD,5,0,4,1,1,2,3,3,2,0,3,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SHIV OM INDIA,0,0,0,0,0,0,3,3,2,1,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,1,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SUPERTECH EV LIMITED,0,0,0,0,3,0,2,0,0,1,1,0
Uttar Pradesh,FEROZABAD - UP83,L3G,T U K INDUSTRIES,0,0,0,0,0,0,0,0,0,1,2,0
Uttar Pradesh,FEROZABAD - UP83,L3G,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,0,0,0,0,0,1,2
