State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,FEROZABAD - UP83,L3G,3S INDUSTRIES PRIVATE LIMITED,0,0,0,6,5,2,0,13,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,1,1,1,0,0,0,0,3,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,A.R. MOTOR,0,1,2,1,0,3,0,7,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,2,13,7,0,22,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,BAJAJ IMPLEMENTS PVT. LTD,1,0,0,1,3,2,0,7,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,BHM INDUSTRIES,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,CHAMPION POLY PLAST,0,0,0,0,1,4,0,5,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,DAKSH INDUSTRIES,0,1,1,3,0,1,0,6,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,1,3,0,4,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,ENERGY ELECTRIC VEHICLES,0,0,1,0,1,4,0,6,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,G.T TRADER,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,HARSH TRADING CO,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,HOTAGE INDIA,1,3,0,6,8,11,1,30,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,HOVEL CYLINDER PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,JAYNA AUTOMOBILES LLP,0,1,0,3,3,10,0,17,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,J. S. AUTO (P) LTD,3,6,0,2,7,7,0,25,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,KANTH E RICKSHAW,0,0,0,1,18,20,0,39,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,K T ENTERPRISES,0,2,2,1,0,2,0,7,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,MAHAK TEEN UDYOG,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,METAL PRESSING & ENGG WORKS,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,MINI METRO EV L.L.P,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,7,8,0,0,0,5,0,20,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SAHNIANAND E VEHICLES PVT LTD,5,1,0,2,0,11,0,19,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SAKSHAM TRADING COMPANY,0,0,0,0,0,4,0,4,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SHINME ELECTRICAL VEHICLE PVT LTD,0,0,1,6,1,3,0,11,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SHIV OM INDIA,0,1,0,8,17,19,0,45,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,SUPERTECH EV LIMITED,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,T U K INDUSTRIES,4,1,0,0,2,1,0,8,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,UNIQUE INTERNATIONAL,0,0,0,0,2,4,0,6,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,2,0,1,0,3,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,YC ELECTRIC VEHICLE,0,0,0,1,2,4,0,7,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3G,ZENIAK INNOVATION INDIA LTD,0,1,0,0,0,0,0,1,0,0,0
