State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,FEROZABAD - UP83,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,11,6,3,0,20,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,5,0,1,1,1,0,0,8,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,A.R. MOTOR,0,0,0,7,4,2,0,13,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,B24 ROKET EV,0,0,0,3,2,2,0,7,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,BAGHWAN RIKSHAW UDYOG,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,BAJAJ IMPLEMENTS PVT. LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,BAXY LTD,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,BEST WAY AGENCIES PVT LTD,1,0,1,1,2,2,0,7,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,BHM INDUSTRIES,1,0,5,29,10,4,0,49,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,CARREE YUNUS VEHICLE PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,CHAMPION POLY PLAST,1,2,0,0,7,1,0,11,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,CONTINENTAL ENGINES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,DAKSH INDUSTRIES,2,6,4,9,7,1,0,29,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,DEVAM ELECTRIC VEHICLES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,2,0,1,0,3,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,ENERGY ELECTRIC VEHICLES,0,1,1,6,2,3,0,13,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,5,2,0,7,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,G.T TRADER,5,1,0,0,0,2,0,8,0,0,0
Uttar Pradesh,FEROZABAD - UP83,L3P,HARSH TRADING CO,0,0,1,1,3,1,0,6,0,0,0
