State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Farrukhabad - UP76,L3G,AMBIKA INDUSTRIES,2,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,ATUT SANGAM,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,BHM INDUSTRIES,0,0,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,DIVYA ENTERPRISES,0,0,1,0,0,0,0,1,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,0,2,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,ENERGY ELECTRIC VEHICLES,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,HOTAGE INDIA,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Farrukhabad - UP76,L3G,JMT VEHICLES PVT LTD,0,1,0,0,0,0,0,0,0,1,1,1
Uttar Pradesh,Farrukhabad - UP76,L3G,J. S. AUTO (P) LTD,0,4,2,0,2,6,4,3,1,1,2,3
Uttar Pradesh,Farrukhabad - UP76,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,1,0,2,0,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,RIBAND ELECTRIC PVT LTD,0,0,0,0,0,0,0,0,0,0,0,5
Uttar Pradesh,Farrukhabad - UP76,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,T U K INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,1,4,0,0,0,1,0,1,1,0
Uttar Pradesh,Farrukhabad - UP76,L3G,YC ELECTRIC VEHICLE,0,0,0,0,0,0,0,0,0,0,1,0
