State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Farrukhabad - UP76,L3P,3S INDUSTRIES PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ACCRETION POWER AUTOS,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ADITYA SAI INDUSTRIES,0,2,3,3,3,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ALLFINE INDUSTRIES PVT LTD,4,3,7,0,6,5,10,7,7,5,2,0
Uttar Pradesh,Farrukhabad - UP76,L3P,AMBIKA INDUSTRIES,2,0,1,0,0,1,1,0,3,2,3,0
Uttar Pradesh,Farrukhabad - UP76,L3P,A P I MOTORS PVT LTD,0,2,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,APM AUTO SALES,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ARD EXIM,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ATUT SANGAM,0,9,0,6,1,16,7,19,0,12,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Farrukhabad - UP76,L3P,BAXY LTD,3,2,0,1,0,0,0,1,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,BEST WAY AGENCIES PVT LTD,0,0,2,5,0,1,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Farrukhabad - UP76,L3P,BHM INDUSTRIES,0,0,0,0,1,2,0,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,CEEON INDIA,0,0,0,0,0,0,0,0,0,4,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,CELLETRON MOTOR WORKS,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,DAKSH INDUSTRIES,7,0,4,10,6,14,4,8,13,14,7,6
Uttar Pradesh,Farrukhabad - UP76,L3P,DEV MOTORS,0,0,0,0,0,0,0,1,0,7,3,2
Uttar Pradesh,Farrukhabad - UP76,L3P,DIAMOND E VEHICLES,0,0,0,0,1,0,0,0,0,0,1,2
Uttar Pradesh,Farrukhabad - UP76,L3P,DILLI ELECTRIC AUTO PVT LTD,0,4,0,2,5,3,7,4,7,1,2,5
Uttar Pradesh,Farrukhabad - UP76,L3P,DIVYA ENTERPRISES,3,4,6,0,11,10,6,7,8,5,3,0
Uttar Pradesh,Farrukhabad - UP76,L3P,DUKE AUTO INDIA,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ELITE AUTO ENGINEERS PVT LTD,10,14,0,7,10,0,0,26,15,14,2,2
Uttar Pradesh,Farrukhabad - UP76,L3P,ENERGY ELECTRIC VEHICLES,2,1,5,2,2,0,3,2,6,2,1,1
Uttar Pradesh,Farrukhabad - UP76,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,1,0,0,5,7
Uttar Pradesh,Farrukhabad - UP76,L3P,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Farrukhabad - UP76,L3P,GAGAN AUTOMOTIVES,0,0,5,1,4,1,0,0,2,3,2,0
Uttar Pradesh,Farrukhabad - UP76,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,3,3,3,2,0,2,3,3,2,1,1
Uttar Pradesh,Farrukhabad - UP76,L3P,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Farrukhabad - UP76,L3P,GREENFIT INDUSTRIES LLP,0,0,0,1,3,2,2,1,1,0,0,1
Uttar Pradesh,Farrukhabad - UP76,L3P,GREENWHEELS AUTOMOBILE PVT LTD,1,1,0,0,0,1,0,0,0,2,4,1
Uttar Pradesh,Farrukhabad - UP76,L3P,HINDUSTAN MOTOR CORPORATION,5,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,HOTAGE INDIA,7,0,1,5,2,4,3,4,8,7,1,4
Uttar Pradesh,Farrukhabad - UP76,L3P,INDIAN MOTORS,1,1,2,0,0,9,3,4,2,2,5,1
Uttar Pradesh,Farrukhabad - UP76,L3P,INTERGLOBE ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,3,11,7
Uttar Pradesh,Farrukhabad - UP76,L3P,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,13,11,5,11,7,13,8,6,10,23,9,13
Uttar Pradesh,Farrukhabad - UP76,L3P,JITENDRA TEMPO PARTS,1,0,0,0,0,0,0,0,2,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,JMT VEHICLES PVT LTD,1,0,0,1,1,0,0,0,1,5,5,4
Uttar Pradesh,Farrukhabad - UP76,L3P,J. S. AUTO (P) LTD,1,3,0,3,4,4,3,16,3,6,11,8
Uttar Pradesh,Farrukhabad - UP76,L3P,KGN INDUSTRIES,0,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,KRISHNA ENGINEERING WORKS,7,7,0,5,0,2,4,5,4,4,7,4
Uttar Pradesh,Farrukhabad - UP76,L3P,KRISHNA VEHICALS,5,0,0,1,3,1,1,3,4,1,3,1
Uttar Pradesh,Farrukhabad - UP76,L3P,K. V. INDUSTRIES,2,0,0,0,0,0,0,0,3,3,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,LECTRIX E VEHICLES PVT LTD,0,7,5,1,2,3,5,0,3,4,4,2
Uttar Pradesh,Farrukhabad - UP76,L3P,MAA SHAKTI EXIM PVT LTD,0,0,0,0,0,0,0,0,0,4,1,3
Uttar Pradesh,Farrukhabad - UP76,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,2,6,1,3,6,1,13
Uttar Pradesh,Farrukhabad - UP76,L3P,MANITA CITY MOTORS LLP,1,0,0,0,2,0,2,0,0,4,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,MINI METRO EV L.L.P,0,8,0,4,9,10,0,1,24,0,22,0
Uttar Pradesh,Farrukhabad - UP76,L3P,M.K. ENTERPRISES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,NEW CHAWLA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,Farrukhabad - UP76,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,34,4,18,4,6,10,7,8,7,14,26,10
Uttar Pradesh,Farrukhabad - UP76,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,1,0,0,5,0,6,0,2
Uttar Pradesh,Farrukhabad - UP76,L3P,OM INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,PARAS INDUSTRIES,1,2,1,0,2,6,4,3,1,2,0,2
Uttar Pradesh,Farrukhabad - UP76,L3P,PRAJJWAL MAHAJAN TRADERS,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,SAERA ELECTRIC AUTO PVT LTD,4,3,3,4,1,0,0,5,3,1,2,5
Uttar Pradesh,Farrukhabad - UP76,L3P,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,0,0,2,1,0,1
Uttar Pradesh,Farrukhabad - UP76,L3P,SAMRAT ELECTRIC VEHICLE,3,2,5,0,2,6,4,0,6,4,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,SETH INDUSTRIAL CORPORATION,0,0,0,0,0,0,3,0,2,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,SHALYA AUTO SALES PVT LTD,1,3,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,SHREYA ENGINEERS,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,1,1,0
Uttar Pradesh,Farrukhabad - UP76,L3P,SINGH AUTOMOBILES,0,0,0,0,0,0,0,0,0,0,2,1
Uttar Pradesh,Farrukhabad - UP76,L3P,SKS TRADE INDIA PVT LTD,2,2,5,4,8,3,3,15,4,7,2,8
Uttar Pradesh,Farrukhabad - UP76,L3P,SPEEGO VEHICLES CO PVT LTD,0,6,0,6,0,4,2,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,SRD RENEWABLES,11,17,5,5,4,8,3,10,14,9,12,7
Uttar Pradesh,Farrukhabad - UP76,L3P,SUPER METRO INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,3,7,2,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,T U K INDUSTRIES,0,0,0,0,1,0,0,0,1,0,0,1
Uttar Pradesh,Farrukhabad - UP76,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,UNIQUE INTERNATIONAL,11,5,3,0,5,10,5,8,14,20,13,19
