State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Farrukhabad - UP76,L3P,ADITYA SAI INDUSTRIES,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ALLFINE INDUSTRIES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,3,1,0,3,1,0,0,8,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,AMBIKA INDUSTRIES,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ARCHIT ENTERPRISES,0,0,0,4,0,0,0,4,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ARROW AUTOMOTIVE,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,ATUT SANGAM,25,8,8,7,8,4,0,60,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,B24 ROKET EV,0,0,0,4,1,0,0,5,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,BADSHAH ENTERPRISES,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,1,4,2,0,7,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,0,4,0,0,4,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,BRIGHT AUTOZONE PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,DAKSH INDUSTRIES,9,12,3,9,8,6,0,47,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,DEV MOTORS,2,1,3,2,1,6,0,15,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,DIAMOND E VEHICLES,0,1,1,0,0,1,0,3,0,0,0
Uttar Pradesh,Farrukhabad - UP76,L3P,DILLI ELECTRIC AUTO PVT LTD,2,5,1,0,6,6,0,20,0,0,0
