State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,GHAZIABAD - UP14,E2W,AMO MOBILITY SOLUTIONS PVT LTD,0,0,5,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,ATHER ENERGY LTD,12,28,46,21,15,13,31,28,57,84,45,30
Uttar Pradesh,GHAZIABAD - UP14,E2W,BAJAJ AUTO LTD,20,20,27,12,17,12,27,50,37,91,88,35
Uttar Pradesh,GHAZIABAD - UP14,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,BOUNCE ELECTRIC 1 PVT LTD,1,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,EVTRIC MOTORS PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,2,1,2,2,2,0,1,0,0,4,2,2
Uttar Pradesh,GHAZIABAD - UP14,E2W,GOREEN E-MOBILITY PVT LTD,0,0,0,0,0,0,0,1,0,11,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,13,3,1,8,4,12,10,10,5,9,12,1
Uttar Pradesh,GHAZIABAD - UP14,E2W,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),0,1,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,HERO ELECTRIC VEHICLES PVT. LTD,2,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,HERO MOTOCORP LTD,4,4,14,3,8,20,21,15,16,28,24,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,1,0,1,0,0,0,1,1,2
Uttar Pradesh,GHAZIABAD - UP14,E2W,KLB KOMAKI PVT LTD,1,1,0,0,1,1,0,2,1,1,1,1
Uttar Pradesh,GHAZIABAD - UP14,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,200,60
Uttar Pradesh,GHAZIABAD - UP14,E2W,MOTOVOLT MOBILITY PVT LTD,0,0,0,0,0,0,0,1,2,2,3,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,OKAYA EV PVT LTD,6,6,9,0,0,5,1,1,0,0,1,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,OKINAWA AUTOTECH PVT LTD,5,0,1,1,2,1,2,2,0,0,0,3
Uttar Pradesh,GHAZIABAD - UP14,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,102,106,131,121,137,97,179,145,94,177,120,46
Uttar Pradesh,GHAZIABAD - UP14,E2W,PUR ENERGY PVT LTD,0,4,2,1,2,3,0,6,0,1,1,1
Uttar Pradesh,GHAZIABAD - UP14,E2W,QUANTUM ENERGY LTD.,6,0,6,0,2,4,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,REGENERATION E BIKES,0,0,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,REVOLT INTELLICORP PVT LTD,10,7,9,10,5,11,9,12,10,27,25,7
Uttar Pradesh,GHAZIABAD - UP14,E2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,1,2,1,1,0,2,1,1,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,TVS MOTOR COMPANY LTD,37,27,55,29,39,38,42,58,83,139,113,72
Uttar Pradesh,GHAZIABAD - UP14,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,1,0,6,4,0,1,1,2,1,0,4
Uttar Pradesh,GHAZIABAD - UP14,E2W,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0,0,0,1,1,0,1,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),0,0,1,0,0,0,2,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,XIDAA MOTO PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),0,0,0,0,0,0,1,0,0,0,0,0
