State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,GHAZIABAD - UP14,ICE,BAJAJ AUTO LTD,452,376,382,427,420,322,347,339,341,643,778,243
Uttar Pradesh,GHAZIABAD - UP14,ICE,BMW INDIA PVT LTD,2,3,2,1,3,7,2,5,5,10,1,2
Uttar Pradesh,GHAZIABAD - UP14,ICE,CLASSIC LEGENDS PVT LTD,28,21,15,22,31,23,16,20,25,31,61,25
Uttar Pradesh,GHAZIABAD - UP14,ICE,DUCATI INDIA PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,HERO MOTOCORP LTD,"2,065","1,783","1,845","1,947","1,971","1,951","1,863","1,869","1,339","3,048","5,169","1,419"
Uttar Pradesh,GHAZIABAD - UP14,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,242","1,016",950,"1,314","1,293","1,137","1,189","1,204",984,"1,758","2,265",868
Uttar Pradesh,GHAZIABAD - UP14,ICE,INDIA KAWASAKI MOTORS PVT LTD,3,6,1,1,2,5,2,0,0,2,1,1
Uttar Pradesh,GHAZIABAD - UP14,ICE,INDIA YAMAHA MOTOR PVT LTD,136,112,85,102,105,66,83,88,72,136,159,54
Uttar Pradesh,GHAZIABAD - UP14,ICE,PIAGGIO VEHICLES PVT LTD,3,2,5,7,9,6,10,10,6,12,7,6
Uttar Pradesh,GHAZIABAD - UP14,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,1,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),451,386,345,484,375,313,298,347,287,903,613,249
Uttar Pradesh,GHAZIABAD - UP14,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,197,149,155,230,216,164,187,270,156,313,377,151
Uttar Pradesh,GHAZIABAD - UP14,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,1,2,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,TVS MOTOR COMPANY LTD,"1,551","1,301","1,193","1,537","1,708","1,240","1,326","1,277","1,115","2,214","2,382",911
Uttar Pradesh,GHAZIABAD - UP14,ICE,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),0,1,0,1,1,0,0,0,0,0,1,0
