State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,GHAZIABAD - UP14,L3P,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,0,0,2,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,AKG INTERNATIONAL,3,5,4,3,17,2,11,8,3,3,4,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ALBEDO VISION PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ALLFINE INDUSTRIES PVT LTD,0,2,2,1,2,0,0,1,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,AMAN ELECTRIC VEHICLES,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,A P I MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,A.R. MOTOR,0,0,0,0,0,0,20,5,18,6,4,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ARNA ELECTRIC AUTO PVT LTD,3,9,7,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ARYAN INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ASHA IMPEX,6,0,2,1,3,1,0,0,0,0,1,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ATTOLENT AUTO GROUP PVT LTD,0,1,0,1,2,0,0,2,4,1,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,A.V.AUTOMOTIVES PVT LTD,19,6,7,5,11,2,5,9,2,3,2,4
Uttar Pradesh,GHAZIABAD - UP14,L3P,AVL ELECTRIC VEHICLES PVT LTD,2,5,6,3,4,2,0,0,0,0,2,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,BABA E-VEHICLES,0,7,5,7,17,7,4,14,3,6,3,5
Uttar Pradesh,GHAZIABAD - UP14,L3P,BAGHWAN RIKSHAW UDYOG,2,0,1,2,1,0,0,1,1,0,2,3
Uttar Pradesh,GHAZIABAD - UP14,L3P,BEST WAY AGENCIES PVT LTD,2,0,0,1,0,1,6,12,3,2,5,3
Uttar Pradesh,GHAZIABAD - UP14,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,11,5,10,7,8,6,8,12,9,13,14,11
Uttar Pradesh,GHAZIABAD - UP14,L3P,CART INDIA,0,0,0,0,0,0,0,0,0,2,4,6
Uttar Pradesh,GHAZIABAD - UP14,L3P,CEEON INDIA,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,GHAZIABAD - UP14,L3P,CHAMPION POLY PLAST,6,1,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,CHANDAKE-AUTOMOBILES LLP,0,0,1,0,0,7,4,3,0,2,1,2
Uttar Pradesh,GHAZIABAD - UP14,L3P,CHEHAK BATTERIES,6,4,5,3,7,4,3,8,6,1,3,6
Uttar Pradesh,GHAZIABAD - UP14,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,0,0,0,0,0,0,1,1,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,CONTINENTAL ENGINES PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,DAKSH INDUSTRIES,2,2,0,0,2,0,3,5,2,1,1,1
