State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,GHAZIABAD - UP14,E2W,AMO MOBILITY SOLUTIONS PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,ATHER ENERGY LTD,18,22,39,11,15,11,7,123,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,ATUMOBILE PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,BAJAJ AUTO LTD,43,67,78,40,69,48,3,348,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,1,0,0,1,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,8,8,4,12,4,8,0,44,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,HERO MOTOCORP LTD,2,9,28,20,23,29,0,111,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,KLB KOMAKI PVT LTD,1,0,1,6,0,0,0,8,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,LECTRIX E VEHICLES PVT LTD,1,5,3,1,3,5,0,18,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,MAGNIOUS E MOBILITY PVT LTD,0,0,1,2,0,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,MOTOVOLT MOBILITY PVT LTD,2,0,0,0,2,0,0,4,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,OBEN ELECTRIC VEHICLES PVT LTD,1,0,0,10,5,4,0,20,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,OKINAWA AUTOTECH PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,83,33,67,55,50,55,1,344,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,PUR ENERGY PVT LTD,1,10,20,15,1,30,0,77,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,REVOLT INTELLICORP PVT LTD,15,12,12,8,10,5,0,62,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,SOKUDO ELECTRIC INDIA PVT LTD,7,1,0,0,0,6,0,14,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,TVS MOTOR COMPANY LTD,101,59,126,57,121,98,3,565,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,0,1,1,1,0,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,2,0,1,7,1,0,11,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,E2W,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),1,0,0,0,1,0,1,3,0,0,0
