State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,GHAZIABAD - UP14,ICE,ADISHWAR AUTO RIDE INDIA PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,BAJAJ AUTO LTD,470,438,339,427,362,301,3,"2,340",0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,BMW INDIA PVT LTD,4,3,2,0,5,3,0,17,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,CLASSIC LEGENDS PVT LTD,33,37,24,31,16,18,2,161,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,DUCATI INDIA PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,HERO MOTOCORP LTD,"2,262","1,888","2,117","2,031","1,932","1,880",28,"12,138",0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,252","1,021","1,070","1,298","1,113","1,055",41,"6,850",0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,INDIA KAWASAKI MOTORS PVT LTD,3,0,1,6,0,0,0,10,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,INDIA YAMAHA MOTOR PVT LTD,118,59,71,68,80,74,0,470,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,PIAGGIO VEHICLES PVT LTD,5,4,4,4,5,4,0,26,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),1,0,0,1,1,1,0,4,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),532,505,495,539,457,401,19,"2,948",0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,245,218,225,273,283,208,0,"1,452",0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,1,0,2,0,1,0,0,4,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,ICE,TVS MOTOR COMPANY LTD,"1,622","1,303","1,204","1,649","1,523","1,293",44,"8,638",0,0,0
