State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,GHAZIABAD - UP14,L3P,AFKON AUTOMOTIVES PVT LTD,0,4,0,1,3,2,0,10,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,AKG INTERNATIONAL,1,1,1,6,0,0,0,9,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,AMAN ELECTRIC VEHICLES,2,0,0,0,0,1,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,A.R. MOTOR,0,0,0,15,2,1,1,19,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ARYAN INDUSTRIES,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ASHA IMPEX,0,0,1,0,1,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ATTOLENT AUTO GROUP PVT LTD,1,0,0,0,1,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,A.V.AUTOMOTIVES PVT LTD,2,2,0,9,7,5,0,25,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,AVL ELECTRIC VEHICLES PVT LTD,1,0,0,0,1,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,BABA E-VEHICLES,1,2,3,2,3,1,0,12,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,BAGHWAN RIKSHAW UDYOG,0,1,1,1,0,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,BALAJI TRADING COMPANY,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,BEST WAY AGENCIES PVT LTD,3,1,7,5,2,4,1,23,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,8,4,5,2,1,2,0,22,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,CART INDIA,2,2,1,7,5,4,0,21,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,CEEON INDIA,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,CHANDAKE-AUTOMOBILES LLP,2,0,0,0,1,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,CHEHAK BATTERIES,3,0,1,1,1,1,0,7,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,DAKSH INDUSTRIES,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,DEV MOTORS,3,2,1,4,2,1,0,13,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,DILLI ELECTRIC AUTO PVT LTD,3,3,3,0,4,1,0,14,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,EARTH MOBILITY,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,E-ASHWA AUTOMOTIVE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,11,9,8,6,11,1,0,46,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,EFEV CHARGING SOLUTION PVT LTD,1,0,1,0,2,0,0,4,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ENABLING E-VEHICLE PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,EVBHARAT RANGE PRIVATE LIMITED,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,EVCO AUTOMOBILES PVT LTD,3,1,3,0,4,0,0,11,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,GAGAN AUTOMOTIVES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,G & G AUTOMOTIVE,1,0,1,1,0,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,GRD MOTORS,10,7,5,12,16,9,0,59,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,GREENFIT INDUSTRIES LLP,0,0,1,2,1,1,0,5,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,GREEN IMPEX,0,0,5,0,1,0,0,6,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,GREEN STAR MOTORS,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,HOTAGE INDIA,17,7,14,11,6,7,1,63,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,INDIAN MOTORS,0,1,0,0,1,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,JESSUN TECHNO PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,KAKKAR ELECTRIC AUTO PVT LTD,11,3,5,6,7,5,1,38,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,KAPTECH INDIA PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,KHALSAE-VEHICLES PVT LTD,1,0,0,0,2,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,1,1,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,LECTRIX E VEHICLES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,LOHIA AUTO INDUSTRIES,3,1,4,3,2,1,0,14,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,M2J E VAHAN PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,MAA SHAKTI EXIM PVT LTD,0,0,1,2,1,3,0,7,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,MAHINDRA LAST MILE MOBILITY LTD,4,1,1,1,1,0,0,8,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,MANITA CITY MOTORS LLP,2,2,1,1,0,0,0,6,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,M G INDUSTRIES,0,0,2,0,1,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,MINI METRO EV L.L.P,11,14,6,9,16,15,0,71,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,M.K. ENTERPRISES,2,0,0,1,2,1,0,6,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,MOMU AUTOMOTIVE,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,M/S SHRIRAM AUTO TECH PVT LTD,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,NEW ARCANA INDIA,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,NEW CHAWLA INDUSTRIES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,5,3,4,4,7,24,0,47,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,OMEGA SALES & AGRO INDUSTRIES,1,2,0,0,0,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,PARAS INDUSTRIES,0,2,1,0,0,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,RAYON ENGINEERS,2,0,4,3,3,2,0,14,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,ROANSOME MOTORS,1,2,0,0,0,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,RODA FLEETS PVT LTD,0,0,0,0,2,1,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,RUTBA PRODUCT PVT LTD,9,8,13,12,9,4,0,55,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SAERA ELECTRIC AUTO PVT LTD,27,22,18,25,7,8,1,108,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SAHNIANAND E VEHICLES PVT LTD,26,11,28,29,20,15,0,129,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,19,19,12,19,21,16,0,106,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SHAKTI AUTO GREEN,2,0,0,2,0,1,0,5,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SHALYA AUTO SALES PVT LTD,2,0,0,1,0,0,0,3,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SHAMMI ELECTRONICS,2,1,1,3,3,2,1,13,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SHRI BARSANA E-VEHICLES PVT LTD,5,5,5,3,5,8,0,31,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SHRI NAMO ELECTRIC AUTOMOTIVE,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SINGHAL ENTERPRISES,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SKS TRADE INDIA PVT LTD,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SRD RENEWABLES,10,9,6,10,0,3,0,38,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,S S GLOBAL,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,STAR BULL E MOTORS,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,SUPERTECH EV LIMITED,2,2,0,3,2,2,0,11,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,TERRA MOTORS INDIA PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,THAVE ENTERPRISES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,TOP TEAM MACHINES PVT LTD,0,2,3,4,7,1,0,17,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,UNIQUE AUTO ELECTRIC,0,1,0,0,0,0,1,2,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,UNIQUE ENTERPRISES,7,3,2,4,3,3,0,22,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,UNIQUE INTERNATIONAL,13,10,11,15,15,11,3,78,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,U.P. TELELINKS LIMITED,5,2,3,4,0,1,0,15,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,URWASHI ENTERPRISES,2,0,0,2,0,1,0,5,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,VICTORY ELECTRIC INTERNATIONAL,9,0,13,15,6,0,0,43,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,VIJAYA ELECTRIC AUTO PVT LTD,4,0,1,0,0,1,0,6,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,VIMAL UNIVERSAL TRADE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,GHAZIABAD - UP14,L3P,YC ELECTRIC VEHICLE,31,26,24,22,21,16,0,140,0,0,0
