State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,GONDA - UP43,L3P,AKG INTERNATIONAL,0,7,2,10,1,0,2,0,0,0,0,3
Uttar Pradesh,GONDA - UP43,L3P,ALLENTTI MOTORS PVT LTD,0,0,0,0,0,0,2,0,0,4,11,1
Uttar Pradesh,GONDA - UP43,L3P,ALLFINE INDUSTRIES PVT LTD,5,4,3,2,4,0,5,1,2,0,3,0
Uttar Pradesh,GONDA - UP43,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,2,0,0,2,1,3,6,17,10,9,6,5
Uttar Pradesh,GONDA - UP43,L3P,ARCHIT ENTERPRISES,0,0,0,0,0,0,0,1,2,4,2,0
Uttar Pradesh,GONDA - UP43,L3P,ARIHANT ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,GONDA - UP43,L3P,ARROW AUTOMOTIVE,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,GONDA - UP43,L3P,ATUL AUTO LTD,0,0,0,0,0,0,0,0,1,1,0,0
Uttar Pradesh,GONDA - UP43,L3P,ATUT SANGAM,3,1,0,4,0,4,2,2,0,0,4,1
Uttar Pradesh,GONDA - UP43,L3P,BALAN ENGINEERING PVT LTD,0,0,0,0,0,0,1,1,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,BALI AUTO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,GONDA - UP43,L3P,BAXY LTD,0,0,0,0,0,0,0,0,0,6,0,8
Uttar Pradesh,GONDA - UP43,L3P,BEST WAY AGENCIES PVT LTD,7,1,3,1,4,6,4,2,2,2,0,30
Uttar Pradesh,GONDA - UP43,L3P,BHADAURIA ENTERPRISES,0,0,0,0,0,0,3,0,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,BHM INDUSTRIES,0,0,0,0,0,0,0,0,0,1,2,2
Uttar Pradesh,GONDA - UP43,L3P,BRIGHT AUTOZONE PVT LTD,8,3,0,3,7,0,6,4,3,1,2,3
Uttar Pradesh,GONDA - UP43,L3P,CHAMPION POLY PLAST,0,10,3,2,2,0,2,0,1,2,1,4
Uttar Pradesh,GONDA - UP43,L3P,DAKSH INDUSTRIES,3,6,4,5,5,6,4,0,2,3,1,2
Uttar Pradesh,GONDA - UP43,L3P,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,0,2,0,0,0,2,0
Uttar Pradesh,GONDA - UP43,L3P,DILLI ELECTRIC AUTO PVT LTD,5,16,19,6,12,25,11,21,11,22,11,8
Uttar Pradesh,GONDA - UP43,L3P,DUKE AUTO INDIA,2,0,3,0,0,1,0,0,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ELITE AUTO ENGINEERS PVT LTD,0,1,7,2,0,3,7,5,12,1,1,0
Uttar Pradesh,GONDA - UP43,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,0,3,0,0,0,0,1,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ENERGY ELECTRIC VEHICLES,16,12,8,7,10,8,9,19,7,13,10,11
Uttar Pradesh,GONDA - UP43,L3P,EXTRA FAST SOLUTIONS,1,0,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,EXTREME MOTORS,3,8,2,1,0,4,2,0,2,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,8,4,12,0,6,2,0,1,0,0,0,3
Uttar Pradesh,GONDA - UP43,L3P,GOBIND INDUSTRIES PVT LTD,0,0,0,0,0,0,2,0,0,0,0,1
Uttar Pradesh,GONDA - UP43,L3P,GREEN IMPEX,1,0,3,8,1,3,5,3,3,4,6,2
Uttar Pradesh,GONDA - UP43,L3P,GREENWHEELS AUTOMOBILE PVT LTD,0,0,0,0,0,1,1,0,0,0,1,1
Uttar Pradesh,GONDA - UP43,L3P,HOOGHLY MOTORS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,HOTAGE INDIA,3,9,2,11,7,10,5,12,8,9,4,8
Uttar Pradesh,GONDA - UP43,L3P,HUNDAL INDUSTRIES,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,INDIAN MOTORS,2,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,3,7,0
Uttar Pradesh,GONDA - UP43,L3P,JMT VEHICLES PVT LTD,4,7,5,0,4,1,12,6,1,14,7,10
Uttar Pradesh,GONDA - UP43,L3P,J. S. AUTO (P) LTD,19,27,21,10,17,24,21,14,22,21,18,25
Uttar Pradesh,GONDA - UP43,L3P,KHALSAE-VEHICLES PVT LTD,10,8,13,1,6,16,9,14,7,7,10,7
Uttar Pradesh,GONDA - UP43,L3P,KRISHNA ENGINEERING WORKS,5,1,3,6,4,8,1,9,2,4,0,2
Uttar Pradesh,GONDA - UP43,L3P,LECTRIX E VEHICLES PVT LTD,25,6,0,2,2,4,12,3,13,9,13,4
Uttar Pradesh,GONDA - UP43,L3P,MAHINDRA LAST MILE MOBILITY LTD,9,5,2,0,2,0,2,1,7,1,4,2
Uttar Pradesh,GONDA - UP43,L3P,MAHINDRA & MAHINDRA LIMITED,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,MALAK TECHNO PVT LTD,0,0,0,0,0,0,1,0,0,0,1,0
Uttar Pradesh,GONDA - UP43,L3P,MANITA CITY MOTORS LLP,0,0,0,0,0,0,0,0,1,0,4,2
Uttar Pradesh,GONDA - UP43,L3P,MINI METRO EV L.L.P,14,3,16,5,9,8,1,7,3,8,8,9
Uttar Pradesh,GONDA - UP43,L3P,MOVE STONE SERVICES PVT LTD,0,0,1,0,0,0,0,0,0,1,0,0
Uttar Pradesh,GONDA - UP43,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,0,4,8,2,0,0,6,1,4,7,5
Uttar Pradesh,GONDA - UP43,L3P,NAMAH INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,3,0,0
Uttar Pradesh,GONDA - UP43,L3P,NIPUN SANYANTRA PVT LTD,0,0,3,0,0,0,0,0,0,1,0,0
Uttar Pradesh,GONDA - UP43,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,34,8,9,11,14,15,20,25,16,12,10,18
Uttar Pradesh,GONDA - UP43,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,11,2,8,7,4,7,10,2,9,16,18,17
Uttar Pradesh,GONDA - UP43,L3P,OM INDUSTRIES,0,0,0,0,1,0,0,0,0,0,2,0
Uttar Pradesh,GONDA - UP43,L3P,OM RAJ AUTOTECH LLP,2,1,6,0,0,0,0,0,0,1,1,0
Uttar Pradesh,GONDA - UP43,L3P,PLAUDIT TECHNO INDIA PVT LTD,0,0,3,4,0,4,2,5,1,2,0,0
Uttar Pradesh,GONDA - UP43,L3P,RACHANACREATIONS AUTO PVT LTD,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,GONDA - UP43,L3P,RAMON INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,RICHFORD ALLIANZ PVT LTD,0,0,0,0,4,3,6,14,1,11,7,5
Uttar Pradesh,GONDA - UP43,L3P,SAERA ELECTRIC AUTO PVT LTD,3,9,12,3,11,7,5,10,1,15,5,10
Uttar Pradesh,GONDA - UP43,L3P,SAHNIANAND E VEHICLES PVT LTD,4,6,5,5,0,6,6,9,7,8,12,7
Uttar Pradesh,GONDA - UP43,L3P,SAKSHAM TRADING COMPANY,0,0,0,0,0,0,2,0,3,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,SHAILENDRA AUTOS PVT LTD,0,2,0,0,1,0,0,1,1,1,0,2
Uttar Pradesh,GONDA - UP43,L3P,SHALYA AUTO SALES PVT LTD,6,6,1,13,1,10,2,0,7,5,1,5
Uttar Pradesh,GONDA - UP43,L3P,SHIGAN EVOLTZ LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,SHRI BARSANA E-VEHICLES PVT LTD,11,7,3,0,2,0,4,1,4,5,3,1
Uttar Pradesh,GONDA - UP43,L3P,SHRIRAJ ELECTRIC VEHICLES,2,1,1,1,0,0,0,0,1,1,2,0
Uttar Pradesh,GONDA - UP43,L3P,SINGH AUTOMOBILES,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,GONDA - UP43,L3P,SIRF INDIA VEHICLES PVT LTD,0,0,0,0,0,0,0,1,2,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,SKS TRADE INDIA PVT LTD,4,8,3,14,5,9,4,5,14,13,12,9
Uttar Pradesh,GONDA - UP43,L3P,SKYRIDE AUTOMOTIVE,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,SRD RENEWABLES,12,2,7,3,3,3,1,4,0,3,0,3
Uttar Pradesh,GONDA - UP43,L3P,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,11,1,3,3,4,4,4,15,6,9,7,5
Uttar Pradesh,GONDA - UP43,L3P,TEJAS ENERGY,0,0,0,0,0,0,0,0,6,4,1,0
Uttar Pradesh,GONDA - UP43,L3P,TERRA MOTORS INDIA PVT LTD,0,0,8,1,1,0,0,1,1,2,0,2
Uttar Pradesh,GONDA - UP43,L3P,T U K INDUSTRIES,3,0,2,1,0,0,1,1,3,1,0,1
Uttar Pradesh,GONDA - UP43,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,2,12,10,6,3,9,8,1,1,3,5,12
Uttar Pradesh,GONDA - UP43,L3P,UNIQUE ENTERPRISES,0,0,0,0,0,1,0,2,0,0,1,1
Uttar Pradesh,GONDA - UP43,L3P,UNIQUE INTERNATIONAL,12,2,5,1,5,4,8,8,2,2,7,4
Uttar Pradesh,GONDA - UP43,L3P,U.P. TELELINKS LIMITED,2,3,3,0,1,0,0,0,0,0,1,1
Uttar Pradesh,GONDA - UP43,L3P,URWASHI ENTERPRISES,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,GONDA - UP43,L3P,VANI ELECTRIC VEHICLES PVT LTD,2,0,3,3,3,0,3,2,0,1,2,1
Uttar Pradesh,GONDA - UP43,L3P,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,4
Uttar Pradesh,GONDA - UP43,L3P,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,7,14,8,8,11,10,7,12,17,23,17,23
Uttar Pradesh,GONDA - UP43,L3P,VIJAYSHREE AUTOCOM LIMITED,1,12,0,1,0,0,5,6,0,0,1,0
Uttar Pradesh,GONDA - UP43,L3P,YC ELECTRIC VEHICLE,9,4,8,4,12,6,6,6,4,12,5,2
Uttar Pradesh,GONDA - UP43,L3P,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,0,0,0,0,4,0,5
