State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,GONDA - UP43,L3P,ACCRETION POWER AUTOS,0,0,1,1,0,2,0,4,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,AKG INTERNATIONAL,1,1,3,3,0,0,0,8,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ALLENTTI MOTORS PVT LTD,2,0,0,1,0,0,0,3,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,15,10,7,7,6,7,1,53,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,APM AUTO SALES,1,1,0,2,1,0,0,5,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ARCHIT ENTERPRISES,2,0,2,1,4,1,0,10,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ARIHANT ENTERPRISES,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ARROW AUTOMOTIVE,1,1,1,0,0,0,0,3,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ATUL AUTO LTD,0,0,0,0,0,0,2,2,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ATUT SANGAM,4,1,3,0,4,0,0,12,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,BALAN ENGINEERING PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,BALI AUTO INDUSTRIES,0,1,0,5,0,0,0,6,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,BAXY LTD,3,7,1,2,1,2,0,16,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,BEST WAY AGENCIES PVT LTD,7,17,21,16,15,16,0,92,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,BHM INDUSTRIES,0,0,0,4,2,0,0,6,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,BRIGHT AUTOZONE PVT LTD,1,0,6,5,2,2,0,16,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,CHAMPION POLY PLAST,3,4,2,11,1,3,0,24,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,DAKSH INDUSTRIES,2,0,0,1,4,1,0,8,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,DE EUSI MOTORS PVT LTD.,1,0,1,3,0,0,0,5,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,DILLI ELECTRIC AUTO PVT LTD,9,5,7,25,8,7,2,63,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ELITE AUTO ENGINEERS PVT LTD,1,0,5,7,1,3,0,17,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,1,0,1,0,2,0,0,4,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,ENERGY ELECTRIC VEHICLES,13,7,5,18,8,2,1,54,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,EXTREME MOTORS,0,1,0,3,0,0,0,4,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,GAGAN AUTOMOTIVES,0,0,0,4,4,4,0,12,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,1,0,1,3,0,0,0,5,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,GOBIND INDUSTRIES PVT LTD,0,0,3,0,0,0,0,3,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,GREEN IMPEX,2,4,7,1,3,0,0,17,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,GREENWHEELS AUTOMOBILE PVT LTD,1,0,1,3,1,0,0,6,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,HARSH TRADING CO,1,1,0,1,0,0,0,3,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,HOTAGE INDIA,3,6,8,6,18,15,0,56,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,INS AUTOMOBILES PVT LTD,2,0,4,1,0,0,0,7,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,INTERGLOBE ENERGY PVT LTD,0,0,0,9,3,1,0,13,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,JMT VEHICLES PVT LTD,5,0,3,6,0,4,0,18,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,J. S. AUTO (P) LTD,10,8,21,10,15,13,1,78,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,KHALSAE-VEHICLES PVT LTD,9,7,5,4,5,2,1,33,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,KRISHNA ENGINEERING WORKS,0,0,3,4,4,1,0,12,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,LAKSHYA AUTO SALES CORPORATION,0,0,3,4,6,2,0,15,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,LECTRIX E VEHICLES PVT LTD,5,2,3,9,1,1,0,21,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,MAHINDRA LAST MILE MOBILITY LTD,1,0,0,0,1,2,0,4,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,MANITA CITY MOTORS LLP,2,2,0,4,1,3,0,12,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,MINI METRO EV L.L.P,6,3,4,6,4,1,0,24,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,MOVE STONE SERVICES PVT LTD,3,0,1,1,0,0,0,5,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,M/S SHRIRAM AUTO TECH PVT LTD,3,2,4,4,2,3,0,18,0,0,0
Uttar Pradesh,GONDA - UP43,L3P,NAMAH INDUSTRIES PVT LTD,0,1,0,0,3,0,0,4,0,0,0
