State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Ghazipur - UP61,E2W,BAJAJ AUTO LTD,1,1,1,1,1,1,0,1,5,2,3,3
Uttar Pradesh,Ghazipur - UP61,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,2,0,0,0,0,0,0,1,0,0,2,0
Uttar Pradesh,Ghazipur - UP61,E2W,BGAUSS AUTO PRIVATE LIMITED,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,ECO FUEL SYSTEMS (I) PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,E-SPRINTO GREEN ENERGY PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,EVTRIC MOTORS PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,1,0,0,1,0
Uttar Pradesh,Ghazipur - UP61,E2W,HERO ELECTRIC VEHICLES PVT. LTD,2,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,1,0,0,2,3,0
Uttar Pradesh,Ghazipur - UP61,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Ghazipur - UP61,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,LECTRIX E VEHICLES PVT LTD,0,0,14,0,0,0,0,0,0,3,1,0
Uttar Pradesh,Ghazipur - UP61,E2W,OKAYA EV PVT LTD,2,2,3,0,0,0,0,2,0,3,0,1
Uttar Pradesh,Ghazipur - UP61,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,33,44,57,36,42,42,47,28,28,46,25,12
Uttar Pradesh,Ghazipur - UP61,E2W,QUANTUM ENERGY LTD.,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Ghazipur - UP61,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,1,4,0,7,1,7,1
Uttar Pradesh,Ghazipur - UP61,E2W,TVS MOTOR COMPANY LTD,5,2,12,5,6,8,26,40,28,73,78,44
Uttar Pradesh,Ghazipur - UP61,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,0,0,2,0,2,7,0,0,9,11,10
