State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Ghazipur - UP61,L3P,AAHANA COMMERCE PVT LTD,0,0,0,0,0,0,1,0,0,2,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,ALLENTTI MOTORS PVT LTD,0,0,2,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,ALLFINE INDUSTRIES PVT LTD,1,1,0,0,2,6,11,5,5,7,2,3
Uttar Pradesh,Ghazipur - UP61,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Ghazipur - UP61,L3P,AMAN ELECTRIC VEHICLES,1,0,0,1,0,1,2,0,3,0,1,0
Uttar Pradesh,Ghazipur - UP61,L3P,AMBIKA INDUSTRIES,0,0,0,1,0,0,0,2,1,2,3,4
Uttar Pradesh,Ghazipur - UP61,L3P,ATUL AUTO LTD,8,5,8,6,6,7,11,9,9,6,4,12
Uttar Pradesh,Ghazipur - UP61,L3P,ATUT SANGAM,0,0,0,0,0,2,4,1,4,2,1,1
Uttar Pradesh,Ghazipur - UP61,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,B24 ROKET EV,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,BABA E-VEHICLES,0,0,4,2,2,0,0,2,0,1,2,0
Uttar Pradesh,Ghazipur - UP61,L3P,BALI AUTO INDUSTRIES,0,0,0,1,2,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,BEST WAY AGENCIES PVT LTD,1,0,1,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,BHM INDUSTRIES,2,0,1,2,0,1,1,2,0,2,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,CEEON INDIA,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,CHAMPION POLY PLAST,9,11,18,12,17,15,22,16,18,12,12,20
Uttar Pradesh,Ghazipur - UP61,L3P,DAKSH INDUSTRIES,22,18,40,11,19,10,17,15,13,18,10,11
Uttar Pradesh,Ghazipur - UP61,L3P,DE EUSI MOTORS PVT LTD.,1,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,DELTA AUTOCORP LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,DIAMOND E VEHICLES,0,0,0,1,0,1,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,DILLI ELECTRIC AUTO PVT LTD,2,1,0,2,4,1,2,3,0,1,2,5
Uttar Pradesh,Ghazipur - UP61,L3P,DUKE AUTO INDIA,0,2,1,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,ENERGY ELECTRIC VEHICLES,3,17,19,12,16,20,15,19,18,21,15,22
Uttar Pradesh,Ghazipur - UP61,L3P,ENTICE IMPEX PVT LTD,1,0,0,0,0,0,0,0,0,0,0,4
Uttar Pradesh,Ghazipur - UP61,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,6,2,1,2,1
Uttar Pradesh,Ghazipur - UP61,L3P,EXTRA FAST SOLUTIONS,4,6,2,1,0,1,0,1,1,1,1,1
Uttar Pradesh,Ghazipur - UP61,L3P,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,8,13,11,11,1,5,13,2,10,4,3,4
Uttar Pradesh,Ghazipur - UP61,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,2,3,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,GOBIND INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,GREENFIT INDUSTRIES LLP,0,0,3,0,0,0,0,1,0,0,3,2
Uttar Pradesh,Ghazipur - UP61,L3P,HOTAGE INDIA,12,7,1,9,3,6,2,1,5,12,11,8
Uttar Pradesh,Ghazipur - UP61,L3P,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3P,INTERGLOBE ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,0,3,0
Uttar Pradesh,Ghazipur - UP61,L3P,JMT VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,1,1
Uttar Pradesh,Ghazipur - UP61,L3P,J. S. AUTO (P) LTD,5,4,12,4,6,9,5,14,7,3,7,11
Uttar Pradesh,Ghazipur - UP61,L3P,KGN,0,0,0,0,0,0,0,0,0,0,1,0
