State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Ghazipur - UP61,E2W,BAJAJ AUTO LTD,2,15,11,7,3,12,2,52,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,BGAUSS AUTO PRIVATE LIMITED,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,1,1,1,0,1,0,4,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,HERO MOTOCORP LTD,0,2,9,5,15,8,0,39,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,1,0,2,2,0,6,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,LECTRIX E VEHICLES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,OKAYA EV PVT LTD,1,0,0,1,1,2,0,5,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,31,7,23,25,22,21,0,129,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,PUR ENERGY PVT LTD,0,9,20,15,0,30,0,74,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,REVOLT INTELLICORP PVT LTD,2,0,4,1,1,0,0,8,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,TVS MOTOR COMPANY LTD,52,35,50,30,56,34,1,258,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,14,0,0,3,0,0,18,0,0,0
Uttar Pradesh,Ghazipur - UP61,E2W,WARIVO MOTOR INDIA PVT LTD,0,0,1,0,2,2,0,5,0,0,0
