State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Ghazipur - UP61,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,AMBIKA INDUSTRIES,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,ARCHIT ENTERPRISES,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,ARYAN INDUSTRIES,0,0,1,3,1,1,0,6,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,ATUL AUTO LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,ATUT SANGAM,0,1,1,2,1,1,0,6,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,B24 ROKET EV,0,0,0,1,1,1,0,3,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,BAXY LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,CHAMPION POLY PLAST,1,0,0,0,1,0,0,2,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,DAKSH INDUSTRIES,3,3,5,8,9,2,2,32,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,DE EUSI MOTORS PVT LTD.,1,0,0,0,0,1,0,2,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,DUKE AUTO INDIA,1,1,0,0,3,1,1,7,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,ENERGY ELECTRIC VEHICLES,9,10,1,20,11,11,0,62,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,ENTICE IMPEX PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,24,8,8,8,1,13,0,62,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,1,0,2,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,GREENFIT INDUSTRIES LLP,1,1,2,0,0,0,0,4,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,GREEN IMPEX,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,HOTAGE INDIA,2,0,0,0,2,5,1,10,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,1,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,JMT VEHICLES PVT LTD,0,0,0,0,3,0,0,3,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,J. S. AUTO (P) LTD,12,12,8,1,4,6,0,43,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,MAA SHAKTI EXIM PVT LTD,1,1,1,2,2,3,0,10,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,MAHTAB BODY MAKER,0,0,0,0,3,1,1,5,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,MINI METRO EV L.L.P,1,1,0,1,1,2,0,6,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,NAMAH INDUSTRIES PVT LTD,1,1,4,4,3,0,0,13,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,1,2,1,2,1,0,0,7,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,PARAS INDUSTRIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,SAERA ELECTRIC AUTO PVT LTD,3,1,3,3,6,0,0,16,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,3,1,0,0,4,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,SHRI BARSANA E-VEHICLES PVT LTD,1,1,6,5,3,1,0,17,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,SKS TRADE INDIA PVT LTD,7,0,5,3,0,1,0,16,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,SPEEGO VEHICLES CO PVT LTD,1,1,4,3,1,1,0,11,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,SUPERTECH EV LIMITED,0,1,2,3,2,0,0,8,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,THUKRAL ELECTRIC BIKES PVT LTD,3,1,10,0,6,0,0,20,0,0,0
Uttar Pradesh,Ghazipur - UP61,L3G,T U K INDUSTRIES,1,0,0,0,0,1,0,2,0,0,0
