State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,BAJAJ AUTO LTD,930,967,852,"1,273","1,284",892,734,678,528,"1,136","2,575",803
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,BMW INDIA PVT LTD,2,0,3,0,0,0,1,1,0,1,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,CLASSIC LEGENDS PVT LTD,10,7,4,1,5,4,9,4,4,7,28,7
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,HERO MOTOCORP LTD,"1,552","1,875","1,855","3,191","2,713","1,947","1,753","1,647","1,000","2,554","5,342","1,772"
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,496,698,607,861,888,714,710,702,509,"1,014","1,751",633
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,INDIA YAMAHA MOTOR PVT LTD,35,53,52,60,69,45,46,49,40,64,108,60
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,PIAGGIO VEHICLES PVT LTD,1,0,1,2,0,1,1,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,0,0,1,0,0,0,1,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),257,283,304,347,264,175,212,198,187,450,695,261
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,54,50,81,90,91,63,66,76,53,67,160,70
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,TVS MOTOR COMPANY LTD,489,605,566,819,776,546,522,547,427,910,"1,582",609
