State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,AKG INTERNATIONAL,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,AMBIKA INDUSTRIES,1,0,1,0,2,1,0,8,0,0,0,6
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ATUT SANGAM,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,AVON CYCLES LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,BEST WAY AGENCIES PVT LTD,0,1,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,BHM INDUSTRIES,0,0,2,1,0,1,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,BIG BULL TRADER PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,1,0,0,0,1,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,CART INDIA,15,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,CEEON INDIA,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,CHAMPION POLY PLAST,1,1,0,0,1,0,0,0,1,2,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,DILLI ELECTRIC AUTO PVT LTD,6,12,11,4,6,8,6,10,13,10,6,5
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ELITE AUTO ENGINEERS PVT LTD,1,2,3,2,5,2,2,3,1,0,2,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,2,0,2,0,3,1,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,2,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,G.K. RICKSHAW PVT LTD,0,0,0,0,0,0,0,0,0,2,3,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,GREENWHEELS AUTOMOBILE PVT LTD,3,1,0,4,2,0,2,4,2,0,0,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,HOTAGE INDIA,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,JESSUN TECHNO PVT LTD,0,0,1,1,8,1,0,1,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,JMT VEHICLES PVT LTD,0,0,2,0,1,0,0,1,1,0,1,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,J. S. AUTO (P) LTD,0,2,1,2,4,2,0,1,2,2,3,3
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,JS MOBILEON PVT LTD,0,0,0,0,1,0,0,0,0,1,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,1,0,1,1,0,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,K T ENTERPRISES,0,0,0,0,1,1,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,LECTRIX E VEHICLES PVT LTD,0,1,0,1,0,0,0,1,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,LUCKY INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,4
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,MAA SHAKTI EXIM PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,1,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,MAHINDRA & MAHINDRA LIMITED,0,2,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,MINI METRO EV L.L.P,0,0,0,0,0,0,0,0,2,0,1,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,1,8,2,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,1,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,RIBAND ELECTRIC PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SAERA ELECTRIC AUTO PVT LTD,6,11,11,8,4,6,12,15,11,5,7,7
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SAHNIANAND E VEHICLES PVT LTD,2,0,0,1,1,0,1,0,0,2,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SETH INDUSTRIAL CORPORATION,0,0,0,0,1,0,0,1,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SKS TRADE INDIA PVT LTD,3,1,2,5,3,2,3,6,0,1,5,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SPEEGO VEHICLES CO PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SUPERTECH EV LIMITED,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SWARNCHAKRA AUTOMOBILES PVT LTD,1,0,0,0,2,0,0,0,0,1,1,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,TUFAN MOTORS PVT LTD,0,1,0,0,3,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,T U K INDUSTRIES,1,2,0,1,0,0,2,0,1,3,2,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,1,2,0,1,1,1,2,5,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,U.P. TELELINKS LIMITED,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,4,10,11,6,9,9,12,1,6,4,8,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,YC ELECTRIC VEHICLE,4,4,4,8,8,4,7,5,11,11,8,8
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,3,0,0,0,0,0,0,1,3,0,0,0
