State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,AKG INTERNATIONAL,1,0,2,1,3,1,0,0,0,0,2,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,ALLENTTI MOTORS PVT LTD,1,4,2,1,0,1,0,1,4,0,2,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,ALLFINE INDUSTRIES PVT LTD,6,14,14,17,17,11,15,12,9,1,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,AMBIKA INDUSTRIES,10,0,0,2,2,2,0,4,0,2,3,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,APM AUTO SALES,2,0,0,0,1,0,0,3,0,1,1,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,ATTOLENT AUTO GROUP PVT LTD,0,1,0,1,0,0,5,1,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,ATUL AUTO LTD,4,11,12,20,14,13,16,18,11,24,25,13
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,ATUT SANGAM,5,0,0,2,0,1,5,1,0,5,1,3
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,A.V.AUTOMOTIVES PVT LTD,2,3,1,2,1,0,0,0,3,0,1,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,1,1,0,0,0,1,3,0,1,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,AVON CYCLES LTD,0,0,0,0,0,1,1,1,0,0,0,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,B24 ROKET EV,0,0,0,0,0,0,0,2,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,BAXY LTD,0,1,0,1,3,0,1,1,2,1,2,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,BEST WAY AGENCIES PVT LTD,2,2,1,5,0,1,0,1,3,2,6,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,BHADAURIA ENTERPRISES,0,4,0,0,0,1,0,1,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,BHM INDUSTRIES,6,5,10,6,5,2,4,3,4,2,1,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,BIG BULL TRADER PVT LTD,1,0,1,1,0,1,2,1,2,2,0,5
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,BRIGHT AUTOZONE PVT LTD,1,1,1,3,1,3,3,3,6,4,3,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,CEEON INDIA,2,1,2,1,0,3,2,0,0,1,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,CHAMPION POLY PLAST,9,24,16,18,38,28,32,39,31,33,26,15
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,2,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,CONTINENTAL ENGINES PVT LTD,0,0,1,0,1,1,0,2,0,1,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,DELTA AUTOCORP LTD,0,0,0,0,2,0,2,0,2,2,5,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,DILLI ELECTRIC AUTO PVT LTD,18,13,22,11,9,17,13,13,14,15,15,11
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,DUKE AUTO INDIA,1,0,2,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,E-GURU AUTO ENERGY,3,1,0,0,0,0,0,2,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,3,1,2,2,1,4,0,2,1,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,ENERGY ELECTRIC VEHICLES,7,17,14,17,16,16,14,17,8,11,7,15
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,10,11,3,2,5,3
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,GAGAN AUTOMOTIVES,0,0,0,0,0,0,0,0,0,2,0,4
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,1,0,1,1,0,3,2,1,0,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,G.K. RICKSHAW PVT LTD,0,0,0,0,0,0,1,1,2,1,1,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,G. M. VEHICLE INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,GRD MOTORS,0,0,0,0,0,0,0,0,0,1,5,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,GREEN TECHNOLOGIES,1,1,0,0,0,0,1,0,0,1,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,GREENWHEELS AUTOMOBILE PVT LTD,3,2,0,2,1,1,1,5,2,2,0,2
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,HOTAGE INDIA,2,3,2,4,5,3,5,14,8,9,11,14
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,INDIAN MOTORS,0,0,0,1,1,2,3,1,2,3,0,1
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,1,11,8,15,12
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3P,JMT VEHICLES PVT LTD,0,0,6,2,3,0,2,6,3,3,4,0
