State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,BAJAJ AUTO LTD,715,699,680,995,"1,748",935,12,"5,784",0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,BMW INDIA PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,CLASSIC LEGENDS PVT LTD,4,5,3,2,6,3,0,23,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,HERO MOTOCORP LTD,"1,527","1,721","1,788","2,350","3,625","1,937",3,"12,951",0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,596,731,692,727,900,733,21,"4,400",0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,INDIA KAWASAKI MOTORS PVT LTD,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,INDIA YAMAHA MOTOR PVT LTD,52,29,42,45,61,57,1,287,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),314,313,301,400,481,279,17,"2,105",0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,61,74,82,76,105,61,0,459,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,ICE,TVS MOTOR COMPANY LTD,560,656,688,790,"1,128",696,22,"4,540",0,0,0
