State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,AARON INDUSTRIES,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,AKG INTERNATIONAL,1,0,1,0,1,0,0,3,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,AMBIKA INDUSTRIES,1,1,0,0,4,0,0,6,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,1,0,1,2,0,4,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ATUT SANGAM,0,0,0,1,0,2,0,3,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,BAXY LTD,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,BHM INDUSTRIES,4,2,3,5,1,3,0,18,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,BIG BULL TRADER PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,BRIGHT AUTOZONE PVT LTD,0,0,1,0,1,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,CART INDIA,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,DILLI ELECTRIC AUTO PVT LTD,6,8,4,11,10,6,1,46,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ELITE AUTO ENGINEERS PVT LTD,2,1,0,1,2,1,0,7,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ENERGY ELECTRIC VEHICLES,2,0,3,3,0,3,0,11,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,G.K. RICKSHAW PVT LTD,6,7,5,3,4,2,0,27,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,G. M. VEHICLE INDUSTRIES,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,GREENWHEELS AUTOMOBILE PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,HARSH TRADING CO,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,HOTAGE INDIA,0,1,0,1,0,1,0,3,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,INDIAN MOTORS,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,INS AUTOMOBILES PVT LTD,0,0,0,0,0,3,0,3,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,JESSUN TECHNO PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,JMT VEHICLES PVT LTD,0,4,0,0,2,0,0,6,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,J. S. AUTO (P) LTD,1,1,3,11,5,5,1,27,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,JS MOBILEON PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,KAIZER ELECTRIC VEHICLES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,LECTRIX E VEHICLES PVT LTD,1,0,0,0,1,1,0,3,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,LUCKY INDUSTRIES,5,0,0,0,0,2,0,7,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,MANITA CITY MOTORS LLP,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,MINI METRO EV L.L.P,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,RAYON ENGINEERS,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,RIBAND ELECTRIC PVT LTD,0,0,1,2,0,1,0,4,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SAERA ELECTRIC AUTO PVT LTD,10,6,7,10,10,5,0,48,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SETH INDUSTRIAL CORPORATION,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SKS TRADE INDIA PVT LTD,1,3,1,4,3,1,0,13,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SPEEGO VEHICLES CO PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,SWARNCHAKRA AUTOMOBILES PVT LTD,1,2,1,0,1,0,0,5,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,T U K INDUSTRIES,1,4,4,1,0,1,0,11,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,1,1,1,5,1,0,9,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,UNIQUE AUTO ELECTRIC,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,UNIQUE INTERNATIONAL,0,0,2,1,4,0,0,7,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,2,11,4,9,14,8,0,48,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,YC ELECTRIC VEHICLE,8,4,5,4,10,7,0,38,0,0,0
Uttar Pradesh,Gorakhpur RTO - UP53,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,4,5,4,5,4,1,23,0,0,0
