State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,AJAY MOTORS PRIVATE LIMITED,1,5,0,0,0,0,0,6,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,APM AUTO SALES,0,0,0,5,5,9,0,19,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,ATUT SANGAM,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,BADSHAH ENTERPRISES,6,5,2,11,15,1,0,40,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,BEST WAY AGENCIES PVT LTD,0,1,1,7,4,4,0,17,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,BHM INDUSTRIES,7,0,1,0,15,0,0,23,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,BRIGHT AUTOZONE PVT LTD,0,0,0,0,10,0,0,10,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,DEV MOTORS,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,DIAMOND E VEHICLES,0,0,1,0,3,0,0,4,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,DUKE AUTO INDIA,0,0,1,6,17,3,0,27,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,ENERGY ELECTRIC VEHICLES,6,3,1,13,17,10,0,50,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,HARSH TRADING CO,0,0,0,0,8,0,0,8,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,HOTAGE INDIA,5,9,10,4,32,15,0,75,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,JMT VEHICLES PVT LTD,13,8,8,15,15,15,0,74,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,J. S. AUTO (P) LTD,22,13,24,51,17,11,0,138,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,KGN INDUSTRIES,1,0,0,0,30,3,0,34,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,KIRAN AUTOMOBILE INDUSTRY,2,0,1,1,1,0,0,5,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,KRISHNA ENGINEERING WORKS,0,0,0,5,5,0,0,10,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,LECTRIX E VEHICLES PVT LTD,5,0,11,10,7,9,0,42,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,LOHAKA INDUSTRIES PVT LTD,2,0,1,0,6,0,0,9,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,MINI METRO EV L.L.P,13,6,8,22,5,6,0,60,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,MVM MOTORS PRIVATE LIMITED,0,0,0,1,1,3,0,5,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,10,0,3,9,12,3,0,37,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,OM INDUSTRIES,0,1,1,1,0,0,0,3,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,OM RAJ AUTOTECH LLP,0,0,0,3,5,1,0,9,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,RAMON INDUSTRIES,1,0,1,3,1,4,0,10,0,0,0
Uttar Pradesh,HAMIRPUR(UP) - UP91,L3P,SAERA ELECTRIC AUTO PVT LTD,4,2,3,11,4,5,0,29,0,0,0
