State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,HARDOI - UP30,E2W,ATHER ENERGY LTD,0,0,1,0,0,0,0,0,1,1,0,0
Uttar Pradesh,HARDOI - UP30,E2W,BAJAJ AUTO LTD,0,0,0,0,0,0,0,2,2,3,2,11
Uttar Pradesh,HARDOI - UP30,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,0,10,3,0
Uttar Pradesh,HARDOI - UP30,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,HARDOI - UP30,E2W,OKAYA EV PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,HARDOI - UP30,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,16,18,27,14,13,24,20,19,10,22,8,5
Uttar Pradesh,HARDOI - UP30,E2W,REVOLT INTELLICORP PVT LTD,1,0,0,1,0,0,0,1,1,2,1,0
Uttar Pradesh,HARDOI - UP30,E2W,TVS MOTOR COMPANY LTD,0,1,4,1,2,0,1,1,1,2,9,1
Uttar Pradesh,HARDOI - UP30,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,2,2,1,0,0,0,0,2,0,0,1,0
Uttar Pradesh,HARDOI - UP30,E2W,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),0,1,0,1,1,0,0,0,0,0,0,0
