State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,HARDOI - UP30,ICE,BAJAJ AUTO LTD,335,359,479,669,431,329,416,352,256,454,"1,129",257
Uttar Pradesh,HARDOI - UP30,ICE,BMW INDIA PVT LTD,0,0,1,0,0,0,0,0,0,1,0,1
Uttar Pradesh,HARDOI - UP30,ICE,CLASSIC LEGENDS PVT LTD,0,0,0,1,1,0,0,1,0,1,3,0
Uttar Pradesh,HARDOI - UP30,ICE,HERO MOTOCORP LTD,"1,134","1,949","2,072","3,273","1,813","1,507","1,797","1,212",643,"1,721","3,990",984
Uttar Pradesh,HARDOI - UP30,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,265,274,580,460,555,273,380,276,330,351,"1,462",301
Uttar Pradesh,HARDOI - UP30,ICE,INDIA YAMAHA MOTOR PVT LTD,12,16,11,16,17,6,12,15,4,25,45,11
Uttar Pradesh,HARDOI - UP30,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,HARDOI - UP30,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),55,65,60,127,61,30,49,29,31,61,111,50
Uttar Pradesh,HARDOI - UP30,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,1,0,0,0,0,1,0,0,0,1,1,0
Uttar Pradesh,HARDOI - UP30,ICE,TVS MOTOR COMPANY LTD,403,617,592,837,617,475,548,368,277,502,"1,304",433
