State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,HATHRAS - UP86,L3P,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,1,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,A K GUPTA & CO.,1,0,3,2,3,1,1,2,3,3,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,1,2,0,1,0,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,BAXY LTD,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,HATHRAS - UP86,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,0,2,0,0,1,0,0,2,0
Uttar Pradesh,HATHRAS - UP86,L3P,BHM INDUSTRIES,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,CARREE YUNUS VEHICLE PVT LTD,2,0,1,0,1,0,0,0,0,1,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,CHAMPION POLY PLAST,0,0,3,2,0,0,0,3,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,CONTINENTAL ENGINES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,DEVAM ELECTRIC VEHICLES PVT LTD,0,0,2,0,1,0,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,6,1,0,0,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,ENERGY ELECTRIC VEHICLES,6,9,6,8,17,19,11,21,22,11,5,18
Uttar Pradesh,HATHRAS - UP86,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,0,2,1
Uttar Pradesh,HATHRAS - UP86,L3P,GAGAN AUTOMOTIVES,1,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,1,0,0,0,0,1,0
Uttar Pradesh,HATHRAS - UP86,L3P,G & G AUTOMOTIVE,0,1,2,1,0,0,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,GRD MOTORS,5,10,13,2,4,0,0,0,0,0,1,1
Uttar Pradesh,HATHRAS - UP86,L3P,GREEN IMPEX,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,HATHRAS - UP86,L3P,HANUMAN UDYOG,4,0,0,2,4,5,6,4,4,1,0,9
