State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,HATHRAS - UP86,ICE,BAJAJ AUTO LTD,245,234,213,295,264,154,5,"1,410",0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,CLASSIC LEGENDS PVT LTD,0,0,0,4,0,1,0,5,0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,DUCATI INDIA PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,HERO MOTOCORP LTD,718,731,638,901,680,605,2,"4,275",0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,247,186,178,269,238,181,1,"1,300",0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,INDIA YAMAHA MOTOR PVT LTD,14,8,24,17,17,13,0,93,0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),146,104,88,125,85,63,6,617,0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,0,0,0,1,1,3,0,5,0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,HATHRAS - UP86,ICE,TVS MOTOR COMPANY LTD,408,316,291,465,400,321,12,"2,213",0,0,0
