State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Hapur - UP37,ICE,BAJAJ AUTO LTD,138,142,123,140,145,120,114,101,103,213,252,61
Uttar Pradesh,Hapur - UP37,ICE,BMW INDIA PVT LTD,0,0,0,0,0,1,0,0,0,0,1,0
Uttar Pradesh,Hapur - UP37,ICE,CLASSIC LEGENDS PVT LTD,3,2,1,2,3,1,2,1,1,2,6,2
Uttar Pradesh,Hapur - UP37,ICE,HERO MOTOCORP LTD,767,817,879,811,859,689,691,618,463,"1,158","2,006",556
Uttar Pradesh,Hapur - UP37,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,204,190,176,222,214,151,164,181,146,279,446,104
Uttar Pradesh,Hapur - UP37,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,2,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,ICE,INDIA YAMAHA MOTOR PVT LTD,9,7,15,11,19,12,12,8,15,13,17,8
Uttar Pradesh,Hapur - UP37,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),91,99,70,104,62,37,59,48,48,148,183,40
Uttar Pradesh,Hapur - UP37,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,13,22,13,21,24,14,31,19,19,38,35,16
Uttar Pradesh,Hapur - UP37,ICE,TVS MOTOR COMPANY LTD,247,228,239,245,247,223,205,190,146,249,494,160
