State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Hapur - UP37,L3G,CHEHAK BATTERIES,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,0,0,0,0,0,0,0,1,1,0,0
Uttar Pradesh,Hapur - UP37,L3G,GAGAN AUTOMOTIVES,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Hapur - UP37,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,2,0,1,1,1,1,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,GREEN STAR MOTORS,1,1,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,HOTAGE INDIA,2,2,1,2,5,1,2,2,0,0,3,0
Uttar Pradesh,Hapur - UP37,L3G,INDIAN MOTORS,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,JS MOBILEON PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Hapur - UP37,L3G,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,1,0,0,0,0,0,0,0,1,1,0
Uttar Pradesh,Hapur - UP37,L3G,KAPTECH INDIA PVT LTD,0,2,2,2,2,4,2,0,0,2,1,0
Uttar Pradesh,Hapur - UP37,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,1,0
Uttar Pradesh,Hapur - UP37,L3G,MINI METRO EV L.L.P,2,0,3,1,2,1,0,2,0,0,1,1
Uttar Pradesh,Hapur - UP37,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,1,0,0,0,2,0,1,1,0,1
Uttar Pradesh,Hapur - UP37,L3G,NAMAH INDUSTRIES PVT LTD,1,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,OMEGA SALES & AGRO INDUSTRIES,2,2,1,1,1,1,0,2,0,0,3,0
Uttar Pradesh,Hapur - UP37,L3G,PARAS INDUSTRIES,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,PARI E-VEHICLES,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,RUTBA PRODUCT PVT LTD,0,0,0,1,0,0,0,1,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,SAHNIANAND E VEHICLES PVT LTD,4,3,5,1,6,5,4,3,3,2,1,2
Uttar Pradesh,Hapur - UP37,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,1,0,1,0,1,1,0,1,0,0,1,1
Uttar Pradesh,Hapur - UP37,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Hapur - UP37,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,2,0,1,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,UNIQUE INTERNATIONAL,2,2,4,4,1,1,4,3,1,0,1,1
Uttar Pradesh,Hapur - UP37,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Hapur - UP37,L3G,YC ELECTRIC VEHICLE,0,0,0,1,1,4,0,0,0,0,1,1
