State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Hapur - UP37,L3P,AKG INTERNATIONAL,0,0,1,1,10,6,0,18,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,AMAN ELECTRIC VEHICLES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,A.R. MOTOR,2,1,0,0,4,0,0,7,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,ARYAN INDUSTRIES,0,0,2,0,1,0,0,3,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,ATUT SANGAM,0,0,0,3,0,0,0,3,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,CG & BROTHER CO,0,0,1,1,0,1,0,3,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,DEV MOTORS,0,1,0,1,1,1,0,4,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,2,1,0,0,0,0,3,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,GAGAN AUTOMOTIVES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,GREENFIT INDUSTRIES LLP,1,0,1,2,5,3,0,12,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,GREEN STAR MOTORS,1,0,0,0,0,1,0,2,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,HOTAGE INDIA,1,0,0,7,2,3,0,13,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,INDIAN MOTORS,3,1,4,8,1,2,2,21,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,JS MOBILEON PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,4,0,0,0,0,0,0,4,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,KANHA ELECTRIC VEHICLES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,KAPTECH INDIA PVT LTD,1,0,1,0,2,1,0,5,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,KHALSAE-VEHICLES PVT LTD,4,5,4,5,12,9,0,39,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,KRISHNA CHAITANYA ENTERPRISES,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,MANITA CITY MOTORS LLP,1,0,0,0,1,0,0,2,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,MINI METRO EV L.L.P,10,2,11,13,28,19,0,83,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,M.K. ENTERPRISES,1,1,0,1,0,0,0,3,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,M/S SHRIRAM AUTO TECH PVT LTD,2,0,5,2,5,7,0,21,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,8,2,6,3,18,3,0,40,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,NAMAH INDUSTRIES PVT LTD,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,OMEGA SALES & AGRO INDUSTRIES,6,3,2,4,2,6,1,24,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,RUTBA PRODUCT PVT LTD,0,1,0,1,5,0,0,7,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,SAERA ELECTRIC AUTO PVT LTD,1,0,1,0,1,2,0,5,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,SAHNIANAND E VEHICLES PVT LTD,12,3,7,6,4,4,0,36,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,5,2,3,2,3,1,0,16,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,THUKRAL ELECTRIC BIKES PVT LTD,1,0,0,0,2,1,0,4,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,TOP TEAM MACHINES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,0,0,1,0,1,0,3,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,UNIQUE INTERNATIONAL,7,2,4,4,10,14,0,41,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,VIMAL UNIVERSAL TRADE PVT LTD,2,0,1,0,0,1,0,4,0,0,0
Uttar Pradesh,Hapur - UP37,L3P,YC ELECTRIC VEHICLE,2,1,3,7,5,4,0,22,0,0,0
