State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,JAUNPUR - UP62,L3G,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,JAUNPUR - UP62,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,AMBIKA INDUSTRIES,0,5,4,2,0,1,0,2,1,0,1,0
Uttar Pradesh,JAUNPUR - UP62,L3G,ATUL AUTO LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,JAUNPUR - UP62,L3G,ATUT SANGAM,0,0,0,0,0,0,0,0,0,0,1,3
Uttar Pradesh,JAUNPUR - UP62,L3G,BALI AUTO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,JAUNPUR - UP62,L3G,BAXY LTD,0,3,0,0,2,1,4,2,1,2,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,BHM INDUSTRIES,2,1,2,2,3,6,3,3,0,3,1,3
Uttar Pradesh,JAUNPUR - UP62,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,JAUNPUR - UP62,L3G,CHAMPION POLY PLAST,0,1,0,1,0,0,0,1,2,1,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,DELTA AUTOCORP LTD,0,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,DILLI ELECTRIC AUTO PVT LTD,0,1,2,2,3,3,7,1,4,2,6,4
Uttar Pradesh,JAUNPUR - UP62,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,ENERGY ELECTRIC VEHICLES,0,1,1,0,1,0,0,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,EXIDE INDUSTRIES LTD,0,2,0,0,0,0,0,5,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,0,2,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,G & G AUTOMOTIVE,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,GREENFIT INDUSTRIES LLP,0,0,0,1,0,1,0,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,HOTAGE INDIA,0,0,0,2,3,4,3,3,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,INDIAN MOTORS,0,0,0,0,0,0,0,0,0,4,8,3
Uttar Pradesh,JAUNPUR - UP62,L3G,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,JAUNPUR - UP62,L3G,J. S. AUTO (P) LTD,3,1,5,2,4,1,1,2,3,1,6,7
Uttar Pradesh,JAUNPUR - UP62,L3G,JS MOBILEON PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,KRISHNA ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,2,0
Uttar Pradesh,JAUNPUR - UP62,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,JAUNPUR - UP62,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,1,1,1,1,0,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,MINI METRO EV L.L.P,0,0,5,1,1,1,1,4,0,1,3,2
Uttar Pradesh,JAUNPUR - UP62,L3G,MOVE STONE SERVICES PVT LTD,0,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,NEW ARCANA INDIA,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,JAUNPUR - UP62,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,JAUNPUR - UP62,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,1,0,1,0,1,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,RACHANACREATIONS AUTO PVT LTD,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,JAUNPUR - UP62,L3G,REFLEX CONTROL SYSTEM PVT .LTD,0,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,REPUBLIC MOTORS,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,JAUNPUR - UP62,L3G,SAERA ELECTRIC AUTO PVT LTD,0,4,1,7,3,4,4,2,1,2,3,1
Uttar Pradesh,JAUNPUR - UP62,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,1,0,1,1,4,2,3,1,4
Uttar Pradesh,JAUNPUR - UP62,L3G,SAKSHAM TRADING COMPANY,0,0,0,0,0,0,1,2,0,0,0,1
Uttar Pradesh,JAUNPUR - UP62,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,0,1,1,1,3,3
Uttar Pradesh,JAUNPUR - UP62,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,1,1,1,1,6,0,0,0,2,3,3
Uttar Pradesh,JAUNPUR - UP62,L3G,SKS TRADE INDIA PVT LTD,1,1,0,0,0,1,0,2,0,1,1,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SPEEGO VEHICLES CO PVT LTD,4,6,0,0,0,0,0,5,11,0,0,2
Uttar Pradesh,JAUNPUR - UP62,L3G,STAR IGLOBAL AUTOMOTIVE PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SYNDICATE AUTO COMPONENTS,0,0,0,0,0,2,1,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,THUKRAL ELECTRIC BIKES PVT LTD,3,2,8,2,2,3,6,2,4,7,4,9
Uttar Pradesh,JAUNPUR - UP62,L3G,T U K INDUSTRIES,6,3,2,6,3,10,4,6,11,7,10,14
Uttar Pradesh,JAUNPUR - UP62,L3G,UNIQUE INTERNATIONAL,1,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,U.P. TELELINKS LIMITED,0,0,0,0,0,1,1,0,0,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,URWASHI ENTERPRISES,0,0,0,0,0,0,0,0,1,1,0,1
Uttar Pradesh,JAUNPUR - UP62,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,3,4,0,1,1,1,0,4,3,4,4,5
Uttar Pradesh,JAUNPUR - UP62,L3G,YC ELECTRIC VEHICLE,5,5,4,9,9,3,8,4,8,13,9,13
