State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,JAUNPUR - UP62,E2W,BAJAJ AUTO LTD,35,26,43,23,20,28,2,177,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,1,5,0,4,0,0,11,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,HERO MOTOCORP LTD,0,2,3,2,3,3,0,13,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,OKAYA EV PVT LTD,1,0,2,0,1,0,0,4,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,34,11,37,35,35,40,1,193,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,PUR ENERGY PVT LTD,0,11,20,0,0,0,0,31,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,REVOLT INTELLICORP PVT LTD,5,5,5,8,10,4,0,37,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,TVS MOTOR COMPANY LTD,36,26,41,27,41,27,0,198,0,0,0
Uttar Pradesh,JAUNPUR - UP62,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,4,1,2,6,6,0,3,22,0,0,0
