State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,JAUNPUR - UP62,L3G,ADM TECHNOLOGIES PVT. LTD.,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,AFKON AUTOMOTIVES PVT LTD,0,0,0,0,4,2,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,AJAY MOTORS PRIVATE LIMITED,3,2,2,3,0,0,0,10,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,AMBIKA INDUSTRIES,6,1,4,2,1,6,0,20,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,APM AUTO SALES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,ARCHIT ENTERPRISES,0,0,6,0,2,0,0,8,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,ASHMA-MOTORS PVT LTD,0,3,0,4,0,0,0,7,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,ATUT SANGAM,2,2,0,0,1,1,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,BALI AUTO INDUSTRIES,1,1,1,0,0,0,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,BAXY LTD,0,0,1,1,4,0,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,BHM INDUSTRIES,7,5,7,8,6,3,0,36,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,0,2,3,0,5,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,CHAMPION POLY PLAST,0,0,1,0,0,2,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,DE EUSI MOTORS PVT LTD.,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,DILLI ELECTRIC AUTO PVT LTD,2,3,2,4,5,5,3,24,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,DUKE AUTO INDIA,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,ENERGY ELECTRIC VEHICLES,4,0,0,2,0,3,0,9,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,EXIDE INDUSTRIES LTD,0,2,0,0,0,0,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,GRD MOTORS,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,GREENFIT INDUSTRIES LLP,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,INDIAN MOTORS,0,3,0,2,4,4,0,13,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,INS AUTOMOBILES PVT LTD,1,1,0,0,1,1,0,4,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,JMT VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,J. S. AUTO (P) LTD,5,2,9,3,5,7,0,31,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,KGN,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,KRISHNA ENGINEERING WORKS,2,1,6,2,1,3,0,15,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,LOHIA AUTO INDUSTRIES,0,2,2,0,0,1,0,5,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,MAHINDRA LAST MILE MOBILITY LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,MAHTAB BODY MAKER,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,METAL PRESSING & ENGG WORKS,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,MINI METRO EV L.L.P,1,0,0,2,1,0,0,4,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,MOVE STONE SERVICES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,NEW ARCANA INDIA,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,1,2,0,4,1,0,8,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,RAYON ENGINEERS,1,2,0,2,2,1,0,8,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,REPUBLIC MOTORS,0,0,1,0,2,2,0,5,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SAERA ELECTRIC AUTO PVT LTD,3,0,1,0,4,3,0,11,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SAHNIANAND E VEHICLES PVT LTD,6,4,4,7,9,2,0,32,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SAKSHAM TRADING COMPANY,3,1,2,0,2,2,0,10,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,2,3,2,0,2,1,0,10,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SHRI BARSANA E-VEHICLES PVT LTD,3,7,5,10,4,7,0,36,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SIRF INDIA VEHICLES PVT LTD,1,1,0,1,0,1,0,4,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SKS TRADE INDIA PVT LTD,2,2,2,0,0,0,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SN SOLAR ENERGY,4,0,3,0,2,0,0,9,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SPEEGO VEHICLES CO PVT LTD,0,0,0,6,6,5,1,18,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SUPERECO AUTOMOTIVE CO,1,0,0,0,2,0,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,SYNDICATE AUTO COMPONENTS,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,THUKRAL ELECTRIC BIKES PVT LTD,5,1,2,9,1,0,0,18,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,T U K INDUSTRIES,13,10,14,14,9,15,1,76,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,UNIQUE ENTERPRISES,0,2,0,1,1,1,0,5,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,U.P. TELELINKS LIMITED,0,0,2,0,0,1,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,URWASHI ENTERPRISES,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,VICTORY ELECTRIC INTERNATIONAL,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,6,4,3,6,5,0,0,24,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,YAARI AUTOMOBILES PVT LTD,0,1,0,0,1,1,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3G,YC ELECTRIC VEHICLE,7,7,11,19,7,8,1,60,0,0,0
