State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,JAUNPUR - UP62,L3P,AARON INDUSTRIES,0,1,0,0,1,1,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,AFKON AUTOMOTIVES PVT LTD,1,0,0,2,2,3,0,8,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,AJAY MOTORS PRIVATE LIMITED,2,2,0,1,0,0,0,5,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,ALLFINE INDUSTRIES PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,AMBIKA INDUSTRIES,3,0,4,2,0,0,0,9,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,APM AUTO SALES,0,0,0,0,0,8,0,8,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,ASHMA-MOTORS PVT LTD,1,0,0,1,2,3,0,7,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,ATUL AUTO LTD,4,4,1,3,5,5,0,22,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,ATUT SANGAM,3,6,4,3,3,3,0,22,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,AVL ELECTRIC VEHICLES PVT LTD,3,0,0,0,1,2,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,BAXY LTD,4,1,4,8,15,7,0,39,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,BEENA DEVI & SONS INDUSTRIES PVT LTD,3,0,0,0,0,0,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,BEST WAY AGENCIES PVT LTD,4,1,5,1,5,2,1,19,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,BHM INDUSTRIES,14,8,1,7,7,5,0,42,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,CHAMPION POLY PLAST,5,6,5,1,6,3,0,26,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,DAKSH INDUSTRIES,4,11,4,3,2,2,0,26,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,DELTA AUTOCORP LTD,0,0,1,0,1,0,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,DIAMOND E VEHICLES,5,7,8,1,9,2,3,35,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,DILLI ELECTRIC AUTO PVT LTD,1,1,2,2,2,3,0,11,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,DUKE AUTO INDIA,0,1,4,8,0,0,0,13,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,E-ASHWA AUTOMOTIVE PVT LTD,0,0,0,0,2,1,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,ENERGY ELECTRIC VEHICLES,1,0,0,3,0,0,0,4,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,EXIDE INDUSTRIES LTD,0,3,0,0,1,0,0,4,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,GAGAN AUTOMOTIVES,0,0,0,3,0,0,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,3,6,0,1,0,0,0,10,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,GOLDEN ELECTRIC VEHICLES,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,GRD MOTORS,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,GREENFIT INDUSTRIES LLP,0,1,1,1,1,2,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,GREEN IMPEX,0,0,0,5,0,1,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,GREENWHEELS AUTOMOBILE PVT LTD,0,3,1,0,0,0,0,4,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,HOOGHLY MOTORS PVT LTD,1,1,1,1,2,0,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,HOTAGE INDIA,10,4,2,2,0,11,0,29,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,INDIAN MOTORS,0,5,3,4,3,2,0,17,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,INS AUTOMOBILES PVT LTD,10,0,3,2,1,3,0,19,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,INTERGLOBE ENERGY PVT LTD,0,2,0,0,1,0,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,JMT VEHICLES PVT LTD,0,0,0,0,0,5,0,5,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,J. S. AUTO (P) LTD,2,3,5,3,2,3,0,18,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,KHALSAE-VEHICLES PVT LTD,2,0,1,1,1,1,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,KRISHNA ENGINEERING WORKS,3,5,3,1,7,7,0,26,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,KRISHNA VEHICALS,1,0,0,0,0,1,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,LECTRIX E VEHICLES PVT LTD,2,4,3,6,10,3,0,28,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,LOHIA AUTO INDUSTRIES,2,4,2,0,0,0,0,8,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,MAHINDRA LAST MILE MOBILITY LTD,3,2,3,0,1,0,0,9,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,MAHTAB BODY MAKER,0,4,0,1,3,2,0,10,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,MANITA CITY MOTORS LLP,5,2,14,5,1,9,0,36,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,METAL PRESSING & ENGG WORKS,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,MINI METRO EV L.L.P,9,3,9,5,6,7,0,39,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,NEW ARCANA INDIA,4,2,0,0,0,0,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,13,5,2,1,5,1,1,28,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,3,0,0,0,0,0,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,OM INDUSTRIES,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,PARAS INDUSTRIES,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,PLAUDIT TECHNO INDIA PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,RACHANACREATIONS AUTO PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,RAYON ENGINEERS,2,2,2,4,2,3,0,15,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,REPUBLIC MOTORS,3,0,1,2,2,1,0,9,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,RICHFORD ALLIANZ PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SAERA ELECTRIC AUTO PVT LTD,2,2,7,1,2,7,0,21,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SAHNIANAND E VEHICLES PVT LTD,5,2,10,10,6,11,0,44,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SAKSHAM TRADING COMPANY,7,3,2,3,4,4,0,23,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,5,2,3,2,1,0,0,13,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SHRI BARSANA E-VEHICLES PVT LTD,1,3,3,3,4,1,0,15,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SIRF INDIA VEHICLES PVT LTD,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SKS TRADE INDIA PVT LTD,5,1,1,2,1,4,0,14,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SN SOLAR ENERGY,1,0,2,0,1,0,0,4,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SPEEGO VEHICLES CO PVT LTD,55,30,20,31,12,14,1,163,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,SYNDICATE AUTO COMPONENTS,2,0,1,1,3,0,0,7,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,TEJAS ENERGY,0,0,0,1,0,5,0,6,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,TERRA MOTORS INDIA PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,THUKRAL ELECTRIC BIKES PVT LTD,4,7,3,7,0,0,0,21,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,T U K INDUSTRIES,14,6,10,16,4,11,0,61,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,UNIQUE ENTERPRISES,0,2,0,2,1,0,0,5,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,UNIQUE INTERNATIONAL,14,11,6,8,3,2,0,44,0,0,0
Uttar Pradesh,JAUNPUR - UP62,L3P,U.P. TELELINKS LIMITED,4,4,0,0,0,1,0,9,0,0,0
