State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,JPNAGAR - UP23,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,JPNAGAR - UP23,E2W,BAJAJ AUTO LTD,0,0,1,0,0,0,0,1,0,3,4,1
Uttar Pradesh,JPNAGAR - UP23,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,14,0,6,1,3,9,2,0,0,0,4
Uttar Pradesh,JPNAGAR - UP23,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JPNAGAR - UP23,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,0,2,3,0
Uttar Pradesh,JPNAGAR - UP23,E2W,KLB KOMAKI PVT LTD,0,3,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,JPNAGAR - UP23,E2W,OKAYA EV PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,JPNAGAR - UP23,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,1,2,1,2,2,0,0,0,0
Uttar Pradesh,JPNAGAR - UP23,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,20,8,21,14,20,24,34,35,13,20,16,9
Uttar Pradesh,JPNAGAR - UP23,E2W,REVOLT INTELLICORP PVT LTD,0,0,2,1,0,6,3,2,0,5,8,1
Uttar Pradesh,JPNAGAR - UP23,E2W,TVS MOTOR COMPANY LTD,0,0,1,0,0,3,3,0,1,7,6,3
Uttar Pradesh,JPNAGAR - UP23,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,1,1,0,0,0,1,0,0,0,0,0
Uttar Pradesh,JPNAGAR - UP23,E2W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0,0,0,0,1,0,0,0,0,0,0,0
