State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,JPNAGAR - UP23,L3P,ADM TECHNOLOGIES PVT. LTD.,0,0,0,1,0,2,0,0,0,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,A.R. MOTOR,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,JPNAGAR - UP23,L3P,A.V.AUTOMOTIVES PVT LTD,2,3,2,1,0,1,1,0,3,0,2,1
Uttar Pradesh,JPNAGAR - UP23,L3P,BABA E-VEHICLES,0,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,BAGHWAN RIKSHAW UDYOG,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,JPNAGAR - UP23,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,2,0
Uttar Pradesh,JPNAGAR - UP23,L3P,CHAMPION POLY PLAST,0,5,4,2,0,3,6,10,2,4,1,4
Uttar Pradesh,JPNAGAR - UP23,L3P,CHEHAK BATTERIES,0,2,0,0,0,0,0,1,2,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,DAKSH INDUSTRIES,8,1,26,7,18,8,22,7,11,2,11,13
Uttar Pradesh,JPNAGAR - UP23,L3P,DIAMOND E VEHICLES,2,2,4,6,8,7,6,10,7,7,6,5
Uttar Pradesh,JPNAGAR - UP23,L3P,DILLI ELECTRIC AUTO PVT LTD,3,0,2,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,DIVANSU AUTOMOBILES LTD,2,2,2,1,2,2,0,2,2,4,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,ELITE AUTO ENGINEERS PVT LTD,0,15,1,1,0,3,3,1,0,3,3,4
Uttar Pradesh,JPNAGAR - UP23,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,1,0,1,0,0,0,0,1,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,G & G AUTOMOTIVE,0,0,0,0,4,1,8,3,1,1,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,GRD MOTORS,0,0,0,0,1,0,0,1,1,1,5,3
Uttar Pradesh,JPNAGAR - UP23,L3P,HOTAGE INDIA,3,0,0,0,0,0,0,3,0,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,INDIAN MOTORS,0,1,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,J. S. AUTO (P) LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,JPNAGAR - UP23,L3P,KAKKAR ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,4,0,0,0,2
