State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,JPNAGAR - UP23,L3P,ADM TECHNOLOGIES PVT. LTD.,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,AKG INTERNATIONAL,0,0,0,1,0,2,0,3,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,AMAN ELECTRIC VEHICLES,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,A.R. MOTOR,1,3,0,0,5,1,0,10,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,9,1,2,0,12,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,1,3,1,0,0,5,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,1,9,0,0,0,0,10,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,BADSHAH ENTERPRISES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,BAGHWAN RIKSHAW UDYOG,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,BRIGHT SAFAR,0,0,0,0,8,5,0,13,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,CHAMPION POLY PLAST,0,2,2,18,9,8,0,39,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,CHEHAK BATTERIES,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,DAKSH INDUSTRIES,11,5,9,74,91,36,0,226,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,DEV MOTORS,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,DIAMOND E VEHICLES,8,9,8,27,45,28,0,125,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,DILLI ELECTRIC AUTO PVT LTD,0,2,0,0,0,0,0,2,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,ELITE AUTO ENGINEERS PVT LTD,1,0,0,31,15,5,0,52,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,GARGARIJI AUTOMOBILE PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,G & G AUTOMOTIVE,0,1,1,2,4,0,0,8,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,GRD MOTORS,4,1,3,4,6,3,0,21,0,0,0
Uttar Pradesh,JPNAGAR - UP23,L3P,GREENFIT INDUSTRIES LLP,0,0,0,0,6,6,0,12,0,0,0
